scenario_id,boundary_type,family,severity,configuration,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean
deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_deferred,5.818294,5.994779,6.764612,6.947948,7.59335,0.027921,0.176485,0.769833,0.953169,0.828737,0.645401
deadline_constrained__retained_deferred__baseline__standard,deadline_constrained,baseline,standard,retained_deferred,4.06109,5.405762,6.208724,6.567354,6.787821,1.517893,1.344672,0.802962,1.161592,0.579097,0.220467
deadline_constrained__retained_deferred__degradation__high,deadline_constrained,degradation,high,retained_deferred,8.355814,9.586991,9.771527,9.777383,9.781965,0.200572,1.231177,0.184536,0.190391,0.010438,0.004582
deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained,degradation,moderate,retained_deferred,6.538988,8.273753,8.293575,8.299769,8.305126,2.96664,1.734765,0.019822,0.026017,0.011551,0.005356
deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_immediate,5.899829,6.82501,7.722224,8.01424,8.250501,0.142529,0.925181,0.897214,1.18923,0.528278,0.236261
deadline_constrained__retained_immediate__baseline__standard,deadline_constrained,baseline,standard,retained_immediate,3.909595,5.359153,6.370719,6.656175,6.886273,1.430954,1.449558,1.011566,1.297022,0.515554,0.230099
deadline_constrained__retained_immediate__degradation__high,deadline_constrained,degradation,high,retained_immediate,8.272266,8.352578,8.395496,8.417823,8.42786,0.168565,0.080312,0.042918,0.065245,0.032364,0.010037
deadline_constrained__retained_immediate__degradation__moderate,deadline_constrained,degradation,moderate,retained_immediate,5.541384,7.794165,8.073687,8.126176,8.162134,2.197537,2.252781,0.279522,0.332011,0.088446,0.035957
deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,transient_immediate,5.011513,5.341576,6.241435,6.530099,6.762405,0.07963,0.330063,0.899859,1.188523,0.520969,0.232306
deadline_constrained__transient_immediate__baseline__standard,deadline_constrained,baseline,standard,transient_immediate,3.948912,5.365752,6.205251,6.486772,6.713793,1.446542,1.41684,0.839499,1.12102,0.508542,0.227021
deadline_constrained__transient_immediate__degradation__high,deadline_constrained,degradation,high,transient_immediate,8.181875,8.286365,8.357305,8.379242,8.397761,0.104225,0.10449,0.07094,0.092877,0.040456,0.018519
deadline_constrained__transient_immediate__degradation__moderate,deadline_constrained,degradation,moderate,transient_immediate,5.509301,7.699706,8.057073,8.074811,8.088131,2.191471,2.190405,0.357367,0.375105,0.031057,0.01332
