scenario_id,configuration,family,severity,t_sec,produced_total,completed_in_time_total,expired_total,salvageable_unsettled_cases,doomed_unsettled_cases,comfortable_slack_cases,warning_slack_cases,critical_slack_cases,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,salvageable_unsettled_share,doomed_unsettled_share,critical_slack_share
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,1.0,23.0,1.0,0.0,22.0,0.0,22.0,0.0,0.0,22.0,0.961925,22.0,0.0,0.0,0.961925,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,1.25,68.0,1.0,0.0,67.0,0.0,67.0,0.0,0.0,67.0,0.985291,67.0,0.0,0.0,0.985291,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,1.5,111.0,1.0,0.0,101.5,0.0,98.0,2.0,0.0,101.5,0.990192,101.5,0.0,0.0,0.990192,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,1.75,145.5,129.0,0.0,26.5,0.0,26.5,0.0,0.0,26.5,0.167709,26.5,0.0,0.0,0.167709,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,2.0,188.5,129.0,0.0,57.0,0.0,57.0,0.0,0.0,57.0,0.275097,43.0,0.0,0.0,0.275097,0.0,0.0
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,2.25,686.0,129.0,69.0,207.0,277.0,104.0,53.0,51.5,207.0,0.306352,0.0,0.0,0.0,0.306352,0.402755,0.075126
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,2.5,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,2.75,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,3.0,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,3.25,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,3.5,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,3.75,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,4.0,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,4.25,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,4.5,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.304154,0.0,0.0,0.0,0.304154,0.402755,0.075865
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,4.75,686.0,129.0,71.0,208.5,277.0,104.0,53.0,52.5,208.5,0.302873,0.0,0.0,0.0,0.302873,0.402755,0.075126
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,5.0,688.5,129.0,71.0,209.0,277.0,104.0,53.0,52.0,209.0,0.302873,0.0,0.0,0.0,0.302873,0.402755,0.073772
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,5.25,733.0,129.0,71.0,209.5,322.0,104.0,52.0,53.0,209.5,0.285417,532.5,0.0,0.0,0.285417,0.439926,0.071965
deadline_constrained__retained_deferred__backlog_shock__standard,retained_deferred,backlog_shock,standard,5.5,778.5,131.0,72.5,202.5,325.0,102.0,51.0,52.0,202.5,0.267091,529.5,0.0,0.0,0.267091,0.443047,0.067697
