scenario_id,boundary_type,configuration,family,severity,attainment_t25_seconds_mean,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,bulk_window_25_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean,tail_to_bulk_ratio_mean,upper_bulk_to_bulk_ratio_mean,straggler_to_bulk_ratio_mean
deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained,retained_deferred,backlog_shock,standard,5.790373,5.818294,5.994779,6.764612,6.947948,7.59335,0.027921,0.176485,0.204406,0.769833,0.953169,0.828737,0.645401,8.271828,6.973163,6.448155
deadline_constrained__retained_deferred__baseline__standard,deadline_constrained,retained_deferred,baseline,standard,2.543197,4.06109,5.405762,6.208724,6.567354,6.787821,1.517893,1.344672,2.862565,0.802962,1.161592,0.579097,0.220467,0.202449,0.280809,0.076735
deadline_constrained__retained_deferred__degradation__high,deadline_constrained,retained_deferred,degradation,high,8.155242,8.355814,9.586991,9.771527,9.777383,9.781965,0.200572,1.231177,1.431749,0.184536,0.190391,0.010438,0.004582,0.022165,1.713731,0.009955
deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained,retained_deferred,degradation,moderate,3.572348,6.538988,8.273753,8.293575,8.299769,8.305126,2.96664,1.734765,4.701405,0.019822,0.026017,0.011551,0.005356,0.002548,0.004295,0.001192
deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained,retained_immediate,backlog_shock,standard,5.7573,5.899829,6.82501,7.722224,8.01424,8.250501,0.142529,0.925181,1.06771,0.897214,1.18923,0.528278,0.236261,1.252876,2.099995,0.565894
deadline_constrained__retained_immediate__baseline__standard,deadline_constrained,retained_immediate,baseline,standard,2.478641,3.909595,5.359153,6.370719,6.656175,6.886273,1.430954,1.449558,2.880512,1.011566,1.297022,0.515554,0.230099,0.179142,0.351755,0.079968
deadline_constrained__retained_immediate__degradation__high,deadline_constrained,retained_immediate,degradation,high,8.103701,8.272266,8.352578,8.395496,8.417823,8.42786,0.168565,0.080312,0.248877,0.042918,0.065245,0.032364,0.010037,0.181765,0.231721,0.054285
deadline_constrained__retained_immediate__degradation__moderate,deadline_constrained,retained_immediate,degradation,moderate,3.343847,5.541384,7.794165,8.073687,8.126176,8.162134,2.197537,2.252781,4.450318,0.279522,0.332011,0.088446,0.035957,0.019864,0.062991,0.008111
deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained,transient_immediate,backlog_shock,standard,4.931883,5.011513,5.341576,6.241435,6.530099,6.762405,0.07963,0.330063,0.409693,0.899859,1.188523,0.520969,0.232306,1.423016,2.46469,0.633659
deadline_constrained__transient_immediate__baseline__standard,deadline_constrained,transient_immediate,baseline,standard,2.50237,3.948912,5.365752,6.205251,6.486772,6.713793,1.446542,1.41684,2.863382,0.839499,1.12102,0.508542,0.227021,0.177777,0.293424,0.079364
deadline_constrained__transient_immediate__degradation__high,deadline_constrained,transient_immediate,degradation,high,8.07765,8.181875,8.286365,8.357305,8.379242,8.397761,0.104225,0.10449,0.208715,0.07094,0.092877,0.040456,0.018519,0.189528,0.329191,0.085768
deadline_constrained__transient_immediate__degradation__moderate,deadline_constrained,transient_immediate,degradation,moderate,3.31783,5.509301,7.699706,8.057073,8.074811,8.088131,2.191471,2.190405,4.381876,0.357367,0.375105,0.031057,0.01332,0.007075,0.080921,0.003035
