t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000408,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
0.398756,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
0.705488,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
1.006398,1,0.001,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,0,0.0,0,0.0,0.0,0.0,2.8
1.259121,45,0.037,1,1,0,44,0.977778,44,0.977778,0,0.0,44,0.977778,0,0.0,0,0.0,44,0.977778,44,0,0.0,0,0.0,0.0,0.0,2.8
1.513503,90,0.086,1,1,0,89,0.988889,89,0.988889,0,0.0,89,0.988889,0,0.0,0,0.0,89,0.988889,89,0,0.0,0,0.0,0.0,0.0,2.8
1.77207,136,0.118,134,134,0,2,0.014706,2,0.014706,0,0.0,2,0.014706,0,0.0,0,0.0,2,0.014706,0,0,0.0,0,0.0,0.0,0.0,2.8
2.027758,181,0.168,134,134,0,47,0.259669,47,0.259669,0,0.0,47,0.259669,0,0.0,0,0.0,47,0.259669,47,0,0.0,0,0.0,0.0,0.0,2.8
4.945083,694,0.685,200,134,66,494,0.711816,207,0.298271,287,0.413545,104,0.149856,53,0.076369,50,0.072046,207,0.298271,0,0,0.0,0,0.0,0.0,0.0,2.8
5.203599,739,0.736,200,134,66,539,0.729364,208,0.281461,331,0.447903,103,0.139378,53,0.071719,52,0.070365,208,0.281461,539,0,0.0,0,0.0,0.0,0.0,2.8
5.459754,785,0.768,200,134,66,585,0.745223,210,0.267516,375,0.477707,106,0.135032,51,0.064968,53,0.067516,210,0.267516,585,0,0.0,0,0.0,0.0,0.0,2.8
5.754778,837,0.836,827,338,489,10,0.011947,10,0.011947,0,0.0,10,0.011947,0,0.0,0,0.0,10,0.011947,0,0,0.0,0,0.0,0.0,0.0,2.8
6.009981,883,0.868,827,338,489,56,0.06342,56,0.06342,0,0.0,56,0.06342,0,0.0,0,0.0,56,0.06342,55,0,0.0,0,0.0,0.0,0.0,2.8
6.279302,929,0.918,827,338,489,102,0.109795,102,0.109795,0,0.0,102,0.109795,0,0.0,0,0.0,102,0.109795,102,0,0.0,0,0.0,0.0,0.0,2.8
6.537475,975,0.968,970,481,489,5,0.005128,5,0.005128,0,0.0,5,0.005128,0,0.0,0,0.0,5,0.005128,5,0,0.0,0,0.0,0.0,0.0,2.8
6.797086,1000,1.0,970,481,489,30,0.03,30,0.03,0,0.0,30,0.03,0,0.0,0,0.0,30,0.03,30,0,0.0,0,0.0,0.0,0.0,2.8
7.102181,1000,1.0,970,481,489,30,0.03,30,0.03,0,0.0,30,0.03,0,0.0,0,0.0,30,0.03,30,0,0.0,0,0.0,0.0,0.0,2.8
7.405589,1000,1.0,970,481,489,30,0.03,30,0.03,0,0.0,0,0.0,30,0.03,0,0.0,30,0.03,30,0,0.0,0,0.0,0.0,0.0,2.8
7.711589,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.018058,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.426288,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.732028,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
9.037776,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
9.344278,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
9.558306,1000,1.0,1000,511,489,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
