t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000448,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.322777,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.626028,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.930319,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
1.184822,34,0.019,1,1,0,33,0.970588,33,0.970588,0,0.0,33,0.970588,0,0.0,0,0.0,33,0.970588,33,0,0.0,0,0.0,0.0,0.0,0.0
1.437697,78,0.068,44,44,0,34,0.435897,34,0.435897,0,0.0,34,0.435897,0,0.0,0,0.0,34,0.435897,34,0,0.0,0,0.0,0.0,0.0,0.0
1.692443,123,0.118,89,89,0,34,0.276423,34,0.276423,0,0.0,34,0.276423,0,0.0,0,0.0,34,0.276423,34,0,0.0,0,0.0,0.0,0.0,0.0
1.94751,168,0.168,134,134,0,34,0.202381,34,0.202381,0,0.0,34,0.202381,0,0.0,0,0.0,34,0.202381,34,0,0.0,0,0.0,0.0,0.0,0.0
2.205285,213,0.2,179,179,0,34,0.159624,34,0.159624,0,0.0,34,0.159624,0,0.0,0,0.0,34,0.159624,34,0,0.0,0,0.0,0.0,0.0,0.0
2.460533,258,0.25,224,224,0,34,0.131783,34,0.131783,0,0.0,34,0.131783,0,0.0,0,0.0,34,0.131783,34,0,0.0,0,0.0,0.0,0.0,0.0
2.715955,303,0.3,269,269,0,34,0.112211,34,0.112211,0,0.0,34,0.112211,0,0.0,0,0.0,34,0.112211,34,0,0.0,0,0.0,0.0,0.0,0.0
2.970179,348,0.336,314,314,0,34,0.097701,34,0.097701,0,0.0,34,0.097701,0,0.0,0,0.0,34,0.097701,34,0,0.0,0,0.0,0.0,0.0,0.0
3.225405,393,0.386,359,359,0,34,0.086514,34,0.086514,0,0.0,34,0.086514,0,0.0,0,0.0,34,0.086514,34,0,0.0,0,0.0,0.0,0.0,0.0
3.47995,438,0.436,404,404,0,34,0.077626,34,0.077626,0,0.0,34,0.077626,0,0.0,0,0.0,34,0.077626,34,0,0.0,0,0.0,0.0,0.0,0.0
3.732737,483,0.468,450,450,0,33,0.068323,33,0.068323,0,0.0,33,0.068323,0,0.0,0,0.0,33,0.068323,33,0,0.0,0,0.0,0.0,0.0,0.0
3.990038,528,0.518,495,495,0,33,0.0625,33,0.0625,0,0.0,33,0.0625,0,0.0,0,0.0,33,0.0625,33,0,0.0,0,0.0,0.0,0.0,0.0
4.247089,573,0.568,540,540,0,33,0.057592,33,0.057592,0,0.0,33,0.057592,0,0.0,0,0.0,33,0.057592,33,0,0.0,0,0.0,0.0,0.0,0.0
4.501996,618,0.618,585,585,0,33,0.053398,33,0.053398,0,0.0,33,0.053398,0,0.0,0,0.0,33,0.053398,33,0,0.0,0,0.0,0.0,0.0,0.0
4.76157,664,0.65,631,631,0,33,0.049699,33,0.049699,0,0.0,33,0.049699,0,0.0,0,0.0,33,0.049699,33,0,0.0,0,0.0,0.0,0.0,0.0
5.015669,708,0.7,676,676,0,32,0.045198,32,0.045198,0,0.0,32,0.045198,0,0.0,0,0.0,32,0.045198,32,0,0.0,0,0.0,0.0,0.0,0.0
5.275661,754,0.75,721,721,0,33,0.043767,33,0.043767,0,0.0,33,0.043767,0,0.0,0,0.0,33,0.043767,33,0,0.0,0,0.0,0.0,0.0,0.0
5.531851,799,0.786,766,766,0,33,0.041302,33,0.041302,0,0.0,33,0.041302,0,0.0,0,0.0,33,0.041302,33,0,0.0,0,0.0,0.0,0.0,0.0
5.791991,843,0.834,811,811,0,32,0.03796,32,0.03796,0,0.0,32,0.03796,0,0.0,0,0.0,32,0.03796,32,0,0.0,0,0.0,0.0,0.0,0.0
6.051482,889,0.886,855,855,0,34,0.038245,34,0.038245,0,0.0,34,0.038245,0,0.0,0,0.0,34,0.038245,34,0,0.0,0,0.0,0.0,0.0,0.0
6.310518,934,0.917,901,901,0,33,0.035332,33,0.035332,0,0.0,33,0.035332,0,0.0,0,0.0,33,0.035332,33,0,0.0,0,0.0,0.0,0.0,0.0
6.570315,980,0.968,946,946,0,34,0.034694,34,0.034694,0,0.0,34,0.034694,0,0.0,0,0.0,34,0.034694,34,0,0.0,0,0.0,0.0,0.0,0.0
7.005004,1000,1.0,991,991,0,9,0.009,9,0.009,0,0.0,9,0.009,0,0.0,0,0.0,9,0.009,9,0,0.0,0,0.0,0.0,0.0,0.0
7.309653,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
7.714739,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
8.01929,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
8.322548,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
8.625983,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
9.033944,1000,1.0,1000,1000,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
