case_id,produced_at_epoch,deadline_at_epoch
0,1776662136.376769,1776662137.576769
1,1776662136.386794,1776662137.586794
2,1776662136.392519,1776662137.592519
3,1776662136.398298,1776662137.598298
4,1776662136.404216,1776662137.604216
5,1776662136.410038,1776662137.610038
6,1776662136.415669,1776662137.615669
7,1776662136.421416,1776662137.621416
8,1776662136.426999,1776662137.626999
9,1776662136.432711,1776662137.632711
10,1776662136.438692,1776662137.638692
11,1776662136.444370,1776662137.644370
12,1776662136.450098,1776662137.650098
13,1776662136.455786,1776662137.655786
14,1776662136.461396,1776662137.661396
15,1776662136.467132,1776662137.667132
16,1776662136.472897,1776662137.672897
17,1776662136.478641,1776662137.678641
18,1776662136.484665,1776662137.684665
19,1776662136.490925,1776662137.690925
20,1776662136.496574,1776662137.696574
21,1776662136.502395,1776662137.702395
22,1776662136.508003,1776662137.708003
23,1776662136.513651,1776662137.713651
24,1776662136.519460,1776662137.719460
25,1776662136.525411,1776662137.725411
26,1776662136.531939,1776662137.731939
27,1776662136.537931,1776662137.737931
28,1776662136.543829,1776662137.743829
29,1776662136.550315,1776662137.750315
30,1776662136.556267,1776662137.756268
31,1776662136.562675,1776662137.762675
32,1776662136.568515,1776662137.768515
33,1776662136.574253,1776662137.774253
34,1776662136.580027,1776662137.780027
35,1776662136.585805,1776662137.785805
36,1776662136.591721,1776662137.791721
37,1776662136.597349,1776662137.797349
38,1776662136.603131,1776662137.803131
39,1776662136.608759,1776662137.808759
40,1776662136.614408,1776662137.814408
41,1776662136.620091,1776662137.820091
42,1776662136.625599,1776662137.825599
43,1776662136.631112,1776662137.831112
44,1776662136.637463,1776662137.837463
45,1776662136.643117,1776662137.843117
46,1776662136.648748,1776662137.848748
47,1776662136.654571,1776662137.854571
48,1776662136.660269,1776662137.860270
49,1776662136.665921,1776662137.865921
50,1776662136.671881,1776662137.871881
51,1776662136.677402,1776662137.877402
52,1776662136.683075,1776662137.883075
53,1776662136.688852,1776662137.888852
54,1776662136.694441,1776662137.894441
55,1776662136.700085,1776662137.900085
56,1776662136.705586,1776662137.905586
57,1776662136.711102,1776662137.911103
58,1776662136.716792,1776662137.916792
59,1776662136.722353,1776662137.922353
60,1776662136.727793,1776662137.927793
61,1776662136.733479,1776662137.933479
62,1776662136.739167,1776662137.939167
63,1776662136.744844,1776662137.944844
64,1776662136.750722,1776662137.950722
65,1776662136.787242,1776662137.987242
66,1776662136.792934,1776662137.992934
67,1776662136.798552,1776662137.998552
68,1776662136.804231,1776662138.004231
69,1776662136.809713,1776662138.009713
70,1776662136.815192,1776662138.015192
71,1776662136.820947,1776662138.020947
72,1776662136.826427,1776662138.026428
73,1776662136.831972,1776662138.031972
74,1776662136.837680,1776662138.037680
75,1776662136.843170,1776662138.043170
76,1776662136.848812,1776662138.048812
77,1776662136.854435,1776662138.054435
78,1776662136.859901,1776662138.059901
79,1776662136.866474,1776662138.066474
80,1776662136.872219,1776662138.072219
81,1776662136.877734,1776662138.077734
82,1776662136.883373,1776662138.083373
83,1776662136.889326,1776662138.089326
84,1776662136.894844,1776662138.094844
85,1776662136.900542,1776662138.100542
86,1776662136.906113,1776662138.106113
87,1776662136.911612,1776662138.111612
88,1776662136.917314,1776662138.117314
89,1776662136.922852,1776662138.122852
90,1776662136.928548,1776662138.128548
91,1776662136.934274,1776662138.134274
92,1776662136.939998,1776662138.139998
93,1776662136.945512,1776662138.145512
94,1776662136.951210,1776662138.151210
95,1776662136.956909,1776662138.156909
96,1776662136.962440,1776662138.162440
97,1776662136.968068,1776662138.168068
98,1776662136.973579,1776662138.173579
99,1776662136.979167,1776662138.179168
100,1776662136.985762,1776662138.185762
101,1776662136.991556,1776662138.191556
102,1776662136.997317,1776662138.197317
103,1776662137.003129,1776662138.203130
104,1776662137.008868,1776662138.208868
105,1776662137.014427,1776662138.214427
106,1776662137.020133,1776662138.220133
107,1776662137.025804,1776662138.225804
108,1776662137.031605,1776662138.231606
109,1776662137.037344,1776662138.237344
110,1776662137.043005,1776662138.243005
111,1776662137.048893,1776662138.248893
112,1776662137.054555,1776662138.254555
113,1776662137.060137,1776662138.260137
114,1776662137.065810,1776662138.265810
115,1776662137.071501,1776662138.271501
116,1776662137.077081,1776662138.277081
117,1776662137.082714,1776662138.282714
118,1776662137.088613,1776662138.288613
119,1776662137.094163,1776662138.294163
120,1776662137.099779,1776662138.299779
121,1776662137.105283,1776662138.305283
122,1776662137.110766,1776662138.310766
123,1776662137.116468,1776662138.316468
124,1776662137.122113,1776662138.322114
125,1776662137.127861,1776662138.327862
126,1776662137.133627,1776662138.333627
127,1776662137.139737,1776662138.339737
128,1776662137.145550,1776662138.345550
129,1776662137.151227,1776662138.351227
130,1776662137.156945,1776662138.356945
131,1776662137.162544,1776662138.362544
132,1776662137.168239,1776662138.368239
133,1776662137.173756,1776662138.373756
134,1776662137.179283,1776662138.379283
135,1776662137.184966,1776662138.384966
136,1776662137.190714,1776662138.390714
137,1776662137.196257,1776662138.396257
138,1776662137.202071,1776662138.402071
139,1776662137.207608,1776662138.407608
140,1776662137.213092,1776662138.413092
141,1776662137.218740,1776662138.418740
142,1776662137.224252,1776662138.424252
143,1776662137.229741,1776662138.429741
144,1776662137.235522,1776662138.435522
145,1776662137.241148,1776662138.441148
146,1776662137.246637,1776662138.446637
147,1776662137.252432,1776662138.452432
148,1776662137.257918,1776662138.457918
149,1776662137.263490,1776662138.463490
150,1776662137.269488,1776662138.469488
151,1776662137.275167,1776662138.475168
152,1776662137.280746,1776662138.480747
153,1776662137.286502,1776662138.486502
154,1776662137.292171,1776662138.492171
155,1776662137.297777,1776662138.497777
156,1776662137.303468,1776662138.503469
157,1776662137.308987,1776662138.508987
158,1776662137.314749,1776662138.514749
159,1776662137.320484,1776662138.520484
160,1776662137.326171,1776662138.526171
161,1776662137.331924,1776662138.531924
162,1776662137.337662,1776662138.537662
163,1776662137.343206,1776662138.543206
164,1776662137.348902,1776662138.548902
165,1776662137.354531,1776662138.554531
166,1776662137.360071,1776662138.560071
167,1776662137.365783,1776662138.565783
168,1776662137.371875,1776662138.571875
169,1776662137.377548,1776662138.577548
170,1776662137.383258,1776662138.583258
171,1776662137.388873,1776662138.588873
172,1776662137.394404,1776662138.594404
173,1776662137.400089,1776662138.600089
174,1776662137.405750,1776662138.605750
175,1776662137.411264,1776662138.611264
176,1776662137.417007,1776662138.617007
177,1776662137.422513,1776662138.622514
178,1776662137.428049,1776662138.628049
179,1776662137.433735,1776662138.633735
180,1776662137.439256,1776662138.639256
181,1776662137.444765,1776662138.644765
182,1776662137.450468,1776662138.650468
183,1776662137.456151,1776662138.656151
184,1776662137.461677,1776662138.661677
185,1776662137.467290,1776662138.667290
186,1776662137.473750,1776662138.673750
187,1776662137.479317,1776662138.679317
188,1776662137.485122,1776662138.685122
189,1776662137.490686,1776662138.690686
190,1776662137.496217,1776662138.696217
191,1776662137.501936,1776662138.701936
192,1776662137.507454,1776662138.707454
193,1776662137.513135,1776662138.713135
194,1776662137.518799,1776662138.718799
195,1776662137.524343,1776662138.724343
196,1776662137.529902,1776662138.729902
197,1776662137.535635,1776662138.735635
198,1776662137.541142,1776662138.741142
199,1776662137.546634,1776662138.746634
200,1776662137.552745,1776662138.752745
201,1776662137.558342,1776662138.758343
202,1776662137.564157,1776662138.764157
203,1776662137.569893,1776662138.769893
204,1776662137.575484,1776662138.775484
205,1776662137.581074,1776662138.781074
206,1776662137.589381,1776662138.789382
207,1776662137.594979,1776662138.794979
208,1776662137.600635,1776662138.800635
209,1776662137.606127,1776662138.806127
210,1776662137.611781,1776662138.811781
211,1776662137.617473,1776662138.817473
212,1776662137.623226,1776662138.823226
213,1776662137.629044,1776662138.829044
214,1776662137.636451,1776662138.836451
215,1776662137.642113,1776662138.842113
216,1776662137.647661,1776662138.847661
217,1776662137.653839,1776662138.853839
218,1776662137.659291,1776662138.859291
219,1776662137.665057,1776662138.865057
220,1776662137.670661,1776662138.870661
221,1776662137.676757,1776662138.876757
222,1776662137.682400,1776662138.882400
223,1776662137.687990,1776662138.887990
224,1776662137.693544,1776662138.893544
225,1776662137.699149,1776662138.899149
226,1776662137.704890,1776662138.904890
227,1776662137.710451,1776662138.910451
228,1776662137.716081,1776662138.916081
229,1776662137.721618,1776662138.921618
230,1776662137.727261,1776662138.927261
231,1776662137.733003,1776662138.933003
232,1776662137.738720,1776662138.938720
233,1776662137.744707,1776662138.944707
234,1776662137.750398,1776662138.950398
235,1776662137.756271,1776662138.956271
236,1776662137.761856,1776662138.961856
237,1776662137.767558,1776662138.967558
238,1776662137.773059,1776662138.973059
239,1776662137.778518,1776662138.978518
240,1776662137.784224,1776662138.984224
241,1776662137.789861,1776662138.989861
242,1776662137.795388,1776662138.995389
243,1776662137.801102,1776662139.001102
244,1776662137.806641,1776662139.006641
245,1776662137.812142,1776662139.012142
246,1776662137.817940,1776662139.017940
247,1776662137.823516,1776662139.023516
248,1776662137.829051,1776662139.029052
249,1776662137.834768,1776662139.034768
250,1776662137.840561,1776662139.040561
251,1776662137.846105,1776662139.046105
252,1776662137.851828,1776662139.051828
253,1776662137.857447,1776662139.057447
254,1776662137.862993,1776662139.062993
255,1776662137.868731,1776662139.068732
256,1776662137.874395,1776662139.074395
257,1776662137.879895,1776662139.079895
258,1776662137.885562,1776662139.085562
259,1776662137.891080,1776662139.091080
260,1776662137.896553,1776662139.096553
261,1776662137.902237,1776662139.102237
262,1776662137.907738,1776662139.107738
263,1776662137.913233,1776662139.113233
264,1776662137.918920,1776662139.118920
265,1776662137.924448,1776662139.124448
266,1776662137.930189,1776662139.130189
267,1776662137.935879,1776662139.135879
268,1776662137.941754,1776662139.141754
269,1776662137.947472,1776662139.147472
270,1776662137.953235,1776662139.153235
271,1776662137.958722,1776662139.158722
272,1776662137.964327,1776662139.164327
273,1776662137.969950,1776662139.169950
274,1776662137.975441,1776662139.175441
275,1776662137.981081,1776662139.181081
276,1776662137.987792,1776662139.187792
277,1776662137.993615,1776662139.193615
278,1776662138.001008,1776662139.201008
279,1776662138.007669,1776662139.207669
280,1776662138.014350,1776662139.214350
281,1776662138.020079,1776662139.220079
282,1776662138.025858,1776662139.225858
283,1776662138.031679,1776662139.231679
284,1776662138.037374,1776662139.237374
285,1776662138.043458,1776662139.243459
286,1776662138.049308,1776662139.249308
287,1776662138.056086,1776662139.256086
288,1776662138.062487,1776662139.262487
289,1776662138.068790,1776662139.268790
290,1776662138.074729,1776662139.274729
291,1776662138.081670,1776662139.281670
292,1776662138.087405,1776662139.287405
293,1776662138.093244,1776662139.293244
294,1776662138.099006,1776662139.299006
295,1776662138.104725,1776662139.304725
296,1776662138.110370,1776662139.310370
297,1776662138.116025,1776662139.316025
298,1776662138.121692,1776662139.321692
299,1776662138.127370,1776662139.327370
300,1776662138.133541,1776662139.333541
301,1776662138.139234,1776662139.339234
302,1776662138.144861,1776662139.344861
303,1776662138.151097,1776662139.351097
304,1776662138.156675,1776662139.356675
305,1776662138.162168,1776662139.362168
306,1776662138.167871,1776662139.367871
307,1776662138.173358,1776662139.373358
308,1776662138.178941,1776662139.378941
309,1776662138.184685,1776662139.384685
310,1776662138.190210,1776662139.390210
311,1776662138.195684,1776662139.395684
312,1776662138.201388,1776662139.401388
313,1776662138.206960,1776662139.406960
314,1776662138.212470,1776662139.412470
315,1776662138.218193,1776662139.418193
316,1776662138.223747,1776662139.423747
317,1776662138.229272,1776662139.429272
318,1776662138.235272,1776662139.435272
319,1776662138.240851,1776662139.440851
320,1776662138.246539,1776662139.446539
321,1776662138.252239,1776662139.452239
322,1776662138.257812,1776662139.457812
323,1776662138.263365,1776662139.463365
324,1776662138.269002,1776662139.469002
325,1776662138.274652,1776662139.474652
326,1776662138.280211,1776662139.480211
327,1776662138.285929,1776662139.485929
328,1776662138.291597,1776662139.491597
329,1776662138.297216,1776662139.497216
330,1776662138.302876,1776662139.502876
331,1776662138.308449,1776662139.508449
332,1776662138.314065,1776662139.514065
333,1776662138.319854,1776662139.519855
334,1776662138.325474,1776662139.525474
335,1776662138.332115,1776662139.532115
336,1776662138.338390,1776662139.538390
337,1776662138.344623,1776662139.544623
338,1776662138.350283,1776662139.550283
339,1776662138.355978,1776662139.555979
340,1776662138.361571,1776662139.561571
341,1776662138.367385,1776662139.567385
342,1776662138.373088,1776662139.573088
343,1776662138.378703,1776662139.578703
344,1776662138.384385,1776662139.584385
345,1776662138.390073,1776662139.590073
346,1776662138.395730,1776662139.595730
347,1776662138.401390,1776662139.601390
348,1776662138.407063,1776662139.607063
349,1776662138.412709,1776662139.612709
350,1776662138.418596,1776662139.618596
351,1776662138.424171,1776662139.624171
352,1776662138.429719,1776662139.629719
353,1776662138.435339,1776662139.635339
354,1776662138.440891,1776662139.640891
355,1776662138.446428,1776662139.646428
356,1776662138.452070,1776662139.652070
357,1776662138.457561,1776662139.657561
358,1776662138.463168,1776662139.663168
359,1776662138.468863,1776662139.668864
360,1776662138.474348,1776662139.674348
361,1776662138.479990,1776662139.679990
362,1776662138.486217,1776662139.686218
363,1776662138.491773,1776662139.691773
364,1776662138.497427,1776662139.697427
365,1776662138.503008,1776662139.703008
366,1776662138.508544,1776662139.708544
367,1776662138.514158,1776662139.714158
368,1776662138.520101,1776662139.720101
369,1776662138.525721,1776662139.725721
370,1776662138.531433,1776662139.731433
371,1776662138.537302,1776662139.737302
372,1776662138.542979,1776662139.742980
373,1776662138.548776,1776662139.748776
374,1776662138.554288,1776662139.754288
375,1776662138.560037,1776662139.760037
376,1776662138.566345,1776662139.766345
377,1776662138.572089,1776662139.772089
378,1776662138.577602,1776662139.777602
379,1776662138.583316,1776662139.783316
380,1776662138.588875,1776662139.788875
381,1776662138.594394,1776662139.794394
382,1776662138.600117,1776662139.800117
383,1776662138.605685,1776662139.805685
384,1776662138.611406,1776662139.811406
385,1776662138.617202,1776662139.817202
386,1776662138.623077,1776662139.823077
387,1776662138.628612,1776662139.828612
388,1776662138.634333,1776662139.834333
389,1776662138.639904,1776662139.839905
390,1776662138.645472,1776662139.845472
391,1776662138.651152,1776662139.851152
392,1776662138.656971,1776662139.856971
393,1776662138.662788,1776662139.862788
394,1776662138.668439,1776662139.868439
395,1776662138.674073,1776662139.874073
396,1776662138.679869,1776662139.879869
397,1776662138.685668,1776662139.885668
398,1776662138.691708,1776662139.891708
399,1776662138.697522,1776662139.897522
400,1776662138.703565,1776662139.903565
401,1776662138.709114,1776662139.909114
402,1776662138.715131,1776662139.915131
403,1776662138.720873,1776662139.920873
404,1776662138.726396,1776662139.926396
405,1776662138.732160,1776662139.932160
406,1776662138.737852,1776662139.937852
407,1776662138.743904,1776662139.943904
408,1776662138.749652,1776662139.949652
409,1776662138.755188,1776662139.955189
410,1776662138.760765,1776662139.960765
411,1776662138.766460,1776662139.966460
412,1776662138.772184,1776662139.972184
413,1776662138.777779,1776662139.977779
414,1776662138.784173,1776662139.984173
415,1776662138.790946,1776662139.990947
416,1776662138.797410,1776662139.997410
417,1776662138.803119,1776662140.003119
418,1776662138.809106,1776662140.009106
419,1776662138.814812,1776662140.014812
420,1776662138.820515,1776662140.020515
421,1776662138.826104,1776662140.026104
422,1776662138.831718,1776662140.031718
423,1776662138.837184,1776662140.037184
424,1776662138.842721,1776662140.042721
425,1776662138.848420,1776662140.048420
426,1776662138.853958,1776662140.053958
427,1776662138.859509,1776662140.059510
428,1776662138.865213,1776662140.065213
429,1776662138.870847,1776662140.070847
430,1776662138.876420,1776662140.076420
431,1776662138.882047,1776662140.082047
432,1776662138.887635,1776662140.087636
433,1776662138.893221,1776662140.093221
434,1776662138.898917,1776662140.098917
435,1776662138.904558,1776662140.104558
436,1776662138.910348,1776662140.110348
437,1776662138.915981,1776662140.115981
438,1776662138.921494,1776662140.121494
439,1776662138.927283,1776662140.127283
440,1776662138.933095,1776662140.133095
441,1776662138.938900,1776662140.138900
442,1776662138.944911,1776662140.144911
443,1776662138.950604,1776662140.150604
444,1776662138.956235,1776662140.156235
445,1776662138.961755,1776662140.161755
446,1776662138.967302,1776662140.167302
447,1776662138.972823,1776662140.172823
448,1776662138.978355,1776662140.178355
449,1776662138.984010,1776662140.184011
450,1776662138.989780,1776662140.189780
451,1776662138.995490,1776662140.195490
452,1776662139.001123,1776662140.201123
453,1776662139.006746,1776662140.206746
454,1776662139.012466,1776662140.212466
455,1776662139.018145,1776662140.218145
456,1776662139.023671,1776662140.223671
457,1776662139.029186,1776662140.229186
458,1776662139.034907,1776662140.234907
459,1776662139.040433,1776662140.240433
460,1776662139.045988,1776662140.245988
461,1776662139.051722,1776662140.251722
462,1776662139.057423,1776662140.257423
463,1776662139.063265,1776662140.263265
464,1776662139.068985,1776662140.268985
465,1776662139.074766,1776662140.274766
466,1776662139.080540,1776662140.280540
467,1776662139.086268,1776662140.286268
468,1776662139.092173,1776662140.292173
469,1776662139.097862,1776662140.297862
470,1776662139.103405,1776662140.303405
471,1776662139.108963,1776662140.308963
472,1776662139.114648,1776662140.314648
473,1776662139.120295,1776662140.320295
474,1776662139.125790,1776662140.325790
475,1776662139.131435,1776662140.331435
476,1776662139.136993,1776662140.336993
477,1776662139.142480,1776662140.342480
478,1776662139.148243,1776662140.348243
479,1776662139.153914,1776662140.353914
480,1776662139.159532,1776662140.359532
