case_id,produced_at_epoch,deadline_at_epoch
0,1776664109.688597,1776664110.888597
1,1776664109.698075,1776664110.898075
2,1776664109.703803,1776664110.903803
3,1776664109.709407,1776664110.909407
4,1776664109.715313,1776664110.915313
5,1776664109.721245,1776664110.921245
6,1776664109.726745,1776664110.926745
7,1776664109.732481,1776664110.932481
8,1776664109.738145,1776664110.938145
9,1776664109.743701,1776664110.943702
10,1776664109.749382,1776664110.949383
11,1776664109.755250,1776664110.955250
12,1776664109.760995,1776664110.960995
13,1776664109.766666,1776664110.966666
14,1776664109.772109,1776664110.972109
15,1776664109.777614,1776664110.977614
16,1776664109.783378,1776664110.983378
17,1776664109.789325,1776664110.989325
18,1776664109.794857,1776664110.994857
19,1776664109.800817,1776664111.000818
20,1776664109.806489,1776664111.006489
21,1776664109.812069,1776664111.012069
22,1776664109.817765,1776664111.017765
23,1776664109.823553,1776664111.023553
24,1776664109.829125,1776664111.029125
25,1776664109.834753,1776664111.034753
26,1776664109.840502,1776664111.040502
27,1776664109.846084,1776664111.046084
28,1776664109.851683,1776664111.051683
29,1776664109.857130,1776664111.057130
30,1776664109.862539,1776664111.062539
31,1776664109.868306,1776664111.068306
32,1776664109.873960,1776664111.073960
33,1776664109.879442,1776664111.079443
34,1776664109.885158,1776664111.085158
35,1776664109.890897,1776664111.090897
36,1776664109.896492,1776664111.096492
37,1776664109.902485,1776664111.102485
38,1776664109.908108,1776664111.108108
39,1776664109.913869,1776664111.113869
40,1776664109.919724,1776664111.119724
41,1776664109.925234,1776664111.125234
42,1776664109.930955,1776664111.130955
43,1776664109.936539,1776664111.136539
44,1776664109.942010,1776664111.142010
45,1776664109.947461,1776664111.147461
46,1776664109.953105,1776664111.153105
47,1776664109.958715,1776664111.158715
48,1776664109.964545,1776664111.164545
49,1776664109.970339,1776664111.170339
50,1776664109.976130,1776664111.176130
51,1776664109.981751,1776664111.181751
52,1776664109.987422,1776664111.187422
53,1776664109.993047,1776664111.193047
54,1776664109.998749,1776664111.198750
55,1776664110.004526,1776664111.204526
56,1776664110.010180,1776664111.210180
57,1776664110.015719,1776664111.215719
58,1776664110.021125,1776664111.221125
59,1776664110.026605,1776664111.226605
60,1776664110.032212,1776664111.232212
61,1776664110.038157,1776664111.238158
62,1776664110.043722,1776664111.243722
63,1776664110.049524,1776664111.249524
64,1776664110.055265,1776664111.255265
65,1776664110.060875,1776664111.260875
66,1776664110.066475,1776664111.266475
67,1776664110.073005,1776664111.273005
68,1776664110.078980,1776664111.278980
69,1776664110.084710,1776664111.284710
70,1776664110.090527,1776664111.290527
71,1776664110.096227,1776664111.296227
72,1776664110.101819,1776664111.301819
73,1776664110.107351,1776664111.307351
74,1776664110.112825,1776664111.312825
75,1776664110.118491,1776664111.318491
76,1776664110.124761,1776664111.324761
77,1776664110.133089,1776664111.333089
78,1776664110.138937,1776664111.338937
79,1776664110.144502,1776664111.344502
80,1776664110.150256,1776664111.350256
81,1776664110.156249,1776664111.356249
82,1776664110.161856,1776664111.361856
83,1776664110.167562,1776664111.367562
84,1776664110.173306,1776664111.373307
85,1776664110.179059,1776664111.379059
86,1776664110.184742,1776664111.384742
87,1776664110.190391,1776664111.390391
88,1776664110.196302,1776664111.396302
89,1776664110.202111,1776664111.402112
90,1776664110.208349,1776664111.408349
91,1776664110.214153,1776664111.414153
92,1776664110.220053,1776664111.420053
93,1776664110.225718,1776664111.425718
94,1776664110.231291,1776664111.431291
95,1776664110.236939,1776664111.436939
96,1776664110.242561,1776664111.442561
97,1776664110.248384,1776664111.448384
98,1776664110.254205,1776664111.454205
99,1776664110.259824,1776664111.459824
100,1776664110.265689,1776664111.465689
101,1776664110.271348,1776664111.471349
102,1776664110.276938,1776664111.476938
103,1776664110.282482,1776664111.482482
104,1776664110.288259,1776664111.488259
105,1776664110.293958,1776664111.493958
106,1776664110.299620,1776664111.499620
107,1776664110.305317,1776664111.505317
108,1776664110.311050,1776664111.511050
109,1776664110.316737,1776664111.516737
110,1776664110.322612,1776664111.522612
111,1776664110.328231,1776664111.528231
112,1776664110.333920,1776664111.533920
113,1776664110.339661,1776664111.539661
114,1776664110.345229,1776664111.545229
115,1776664110.350845,1776664111.550845
116,1776664110.356219,1776664111.556219
117,1776664110.361625,1776664111.561625
118,1776664110.367664,1776664111.567664
119,1776664110.373641,1776664111.573641
120,1776664110.379210,1776664111.579210
121,1776664110.385029,1776664111.585029
122,1776664110.390770,1776664111.590770
123,1776664110.396370,1776664111.596370
124,1776664110.402060,1776664111.602060
125,1776664110.407890,1776664111.607890
126,1776664110.414017,1776664111.614017
127,1776664110.419805,1776664111.619805
128,1776664110.425432,1776664111.625432
129,1776664110.431041,1776664111.631041
130,1776664110.436692,1776664111.636693
131,1776664110.442129,1776664111.642129
132,1776664110.447657,1776664111.647657
133,1776664110.453275,1776664111.653275
134,1776664110.458924,1776664111.658924
135,1776664110.464617,1776664111.664618
136,1776664110.470800,1776664111.670800
137,1776664110.476360,1776664111.676360
138,1776664110.481922,1776664111.681922
139,1776664110.487621,1776664111.687621
140,1776664110.493225,1776664111.693225
141,1776664110.499028,1776664111.699028
142,1776664110.504986,1776664111.704986
143,1776664110.510643,1776664111.710644
144,1776664110.516275,1776664111.716275
145,1776664110.521726,1776664111.721726
146,1776664110.527232,1776664111.727232
147,1776664110.532900,1776664111.732900
148,1776664110.538862,1776664111.738862
149,1776664110.544409,1776664111.744409
150,1776664110.550436,1776664111.750436
151,1776664110.556180,1776664111.756180
152,1776664110.561739,1776664111.761739
153,1776664110.567432,1776664111.767432
154,1776664110.573254,1776664111.773254
155,1776664110.578769,1776664111.778769
156,1776664110.584422,1776664111.784422
157,1776664110.590161,1776664111.790161
158,1776664110.595738,1776664111.795738
159,1776664110.601435,1776664111.801435
160,1776664110.606922,1776664111.806922
161,1776664110.612339,1776664111.812339
162,1776664110.618065,1776664111.818065
163,1776664110.623845,1776664111.823845
164,1776664110.629341,1776664111.829341
165,1776664110.635000,1776664111.835000
166,1776664110.640778,1776664111.840778
167,1776664110.646392,1776664111.846392
168,1776664110.652517,1776664111.852517
