t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000783,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.370729,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.773881,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.03667,1,0.001,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,0,0.0,1,50.0,0.0,50.0,0.0
1.289747,45,0.037,0,0,0,45,1.0,45,1.0,0,0.0,45,1.0,0,0.0,0,0.0,42,0.933333,6,3,0.066667,1,50.0,0.0,50.0,0.0
1.546134,90,0.086,0,0,0,90,1.0,90,1.0,0,0.0,90,1.0,0,0.0,0,0.0,21,0.233333,11,69,0.766667,1,50.0,0.0,50.0,0.0
1.799924,133,0.117,12,12,0,121,0.909774,121,0.909774,0,0.0,104,0.781955,17,0.12782,0,0.0,56,0.421053,3,65,0.488722,1,50.0,0.0,50.0,0.0
2.052667,177,0.168,12,12,0,165,0.932203,165,0.932203,0,0.0,103,0.581921,53,0.299435,9,0.050847,105,0.59322,8,60,0.338983,1,50.0,0.0,50.0,0.0
2.306817,222,0.218,12,12,0,210,0.945946,209,0.941441,1,0.004505,105,0.472973,52,0.234234,52,0.234234,154,0.693694,13,55,0.247748,1,50.0,0.0,50.0,0.0
2.563138,266,0.25,12,12,0,254,0.954887,208,0.781955,46,0.172932,104,0.390977,52,0.195489,52,0.195489,158,0.593985,18,50,0.18797,1,50.0,0.0,50.0,0.0
2.816861,310,0.3,12,12,0,298,0.96129,208,0.670968,90,0.290323,104,0.335484,52,0.167742,52,0.167742,163,0.525806,23,45,0.145161,1,50.0,0.0,50.0,0.0
3.070876,355,0.35,12,12,0,343,0.966197,209,0.588732,134,0.377465,105,0.295775,52,0.146479,52,0.146479,169,0.476056,28,40,0.112676,1,50.0,0.0,50.0,0.0
3.329899,400,0.4,43,12,31,357,0.8925,210,0.525,147,0.3675,106,0.265,52,0.13,52,0.13,174,0.435,1,36,0.09,1,50.0,0.0,50.0,0.0
3.587383,446,0.436,43,12,31,403,0.903587,210,0.470852,193,0.432735,106,0.237668,53,0.118834,51,0.11435,179,0.401345,6,31,0.069507,1,50.0,0.0,50.0,0.0
3.844496,490,0.486,43,12,31,447,0.912245,211,0.430612,236,0.481633,105,0.214286,53,0.108163,53,0.108163,185,0.377551,11,26,0.053061,1,50.0,0.0,50.0,0.0
4.09973,535,0.518,43,12,31,492,0.919626,211,0.394393,281,0.525234,105,0.196262,53,0.099065,53,0.099065,190,0.35514,16,21,0.039252,1,50.0,0.0,50.0,0.0
4.355036,579,0.568,43,12,31,536,0.925734,209,0.360967,327,0.564767,104,0.17962,53,0.091537,52,0.08981,193,0.333333,21,16,0.027634,1,50.0,0.0,50.0,0.0
4.610852,623,0.617,43,12,31,580,0.930979,208,0.333868,372,0.597111,103,0.165329,53,0.085072,52,0.083467,197,0.316212,26,11,0.017657,1,50.0,0.0,50.0,0.0
4.870173,668,0.668,43,12,31,625,0.935629,209,0.312874,416,0.622754,104,0.155689,53,0.079341,52,0.077844,203,0.303892,31,6,0.008982,1,50.0,0.0,50.0,0.0
5.130154,714,0.7,74,12,62,640,0.896359,209,0.292717,431,0.603641,105,0.147059,51,0.071429,53,0.07423,207,0.289916,4,2,0.002801,1,50.0,0.0,50.0,0.0
5.392358,760,0.75,74,12,62,686,0.902632,210,0.276316,476,0.626316,107,0.140789,51,0.067105,52,0.068421,13,0.017105,9,197,0.259211,1,50.0,0.0,50.0,0.0
5.649337,806,0.8,74,12,62,732,0.908189,210,0.260546,522,0.647643,106,0.131514,53,0.065757,51,0.063275,18,0.022333,14,192,0.238213,1,50.0,0.0,50.0,0.0
5.906367,851,0.85,74,12,62,777,0.913043,212,0.249119,565,0.663925,106,0.124559,53,0.06228,53,0.06228,25,0.029377,19,187,0.219741,1,50.0,0.0,50.0,0.0
6.164787,896,0.886,74,12,62,822,0.917411,212,0.236607,610,0.680804,106,0.118304,53,0.059152,53,0.059152,30,0.033482,24,182,0.203125,1,50.0,0.0,50.0,0.0
6.422835,942,0.936,74,12,62,868,0.921444,211,0.223992,657,0.697452,106,0.112527,53,0.056263,52,0.055202,34,0.036093,29,177,0.187898,1,50.0,0.0,50.0,0.0
6.684116,988,0.986,104,12,92,884,0.894737,211,0.213563,673,0.681174,106,0.107287,53,0.053644,52,0.052632,38,0.038462,3,173,0.175101,1,50.0,0.0,50.0,0.0
6.942592,1000,1.0,104,12,92,896,0.896,178,0.178,718,0.718,72,0.072,53,0.053,53,0.053,10,0.01,8,168,0.168,1,50.0,0.0,50.0,0.0
7.20052,1000,1.0,104,12,92,896,0.896,131,0.131,765,0.765,26,0.026,52,0.052,53,0.053,0,0.0,13,163,0.163,1,50.0,0.0,50.0,0.0
