t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000393,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.28266,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.687791,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.005702,1,0.0,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.262038,46,0.037,0,0,0,46,1.0,46,1.0,0,0.0,46,1.0,0,0.0,0,0.0,38,0.826087,30,8,0.173913,1,8.0,0.0,8.0,0.0
1.51536,82,0.078,0,0,0,82,1.0,82,1.0,0,0.0,82,1.0,0,0.0,0,0.0,61,0.743902,58,21,0.256098,1,8.0,0.0,8.0,0.0
1.771864,126,0.118,67,67,0,59,0.468254,59,0.468254,0,0.0,59,0.468254,0,0.0,0,0.0,28,0.222222,19,31,0.246032,1,8.0,0.0,8.0,0.0
2.025141,169,0.167,67,67,0,102,0.60355,102,0.60355,0,0.0,99,0.585799,3,0.017751,0,0.0,101,0.597633,49,1,0.005917,1,8.0,0.0,8.0,0.0
2.285356,212,0.2,67,67,0,145,0.683962,145,0.683962,0,0.0,100,0.471698,45,0.212264,0,0.0,119,0.561321,79,26,0.122642,1,8.0,0.0,8.0,0.0
2.543813,247,0.246,67,67,0,180,0.728745,180,0.728745,0,0.0,91,0.368421,52,0.210526,37,0.149798,108,0.437247,107,72,0.291498,1,8.0,0.0,8.0,0.0
2.797587,285,0.282,67,67,0,218,0.764912,190,0.666667,28,0.098246,88,0.308772,50,0.175439,52,0.182456,148,0.519298,137,42,0.147368,1,8.0,0.0,8.0,0.0
3.057225,332,0.318,67,67,0,265,0.798193,191,0.575301,74,0.222892,93,0.28012,48,0.144578,50,0.150602,180,0.542169,168,11,0.033133,1,8.0,0.0,8.0,0.0
3.316651,378,0.368,252,148,104,126,0.333333,126,0.333333,0,0.0,105,0.277778,21,0.055556,0,0.0,36,0.095238,8,90,0.238095,1,8.0,0.0,8.0,0.0
3.572186,420,0.417,252,148,104,168,0.4,168,0.4,0,0.0,103,0.245238,50,0.119048,15,0.035714,106,0.252381,36,62,0.147619,1,8.0,0.0,8.0,0.0
3.831269,463,0.45,252,148,104,211,0.455724,203,0.438445,8,0.017279,101,0.218143,53,0.114471,49,0.105832,171,0.36933,66,32,0.069114,1,8.0,0.0,8.0,0.0
4.087368,508,0.5,252,148,104,256,0.503937,206,0.405512,50,0.098425,102,0.200787,51,0.100394,53,0.104331,204,0.401575,96,2,0.003937,1,8.0,0.0,8.0,0.0
4.343059,550,0.0,252,148,104,298,0.541818,202,0.367273,96,0.174545,101,0.183636,50,0.090909,51,0.092727,66,0.12,125,136,0.247273,1,8.0,0.0,8.0,0.0
4.599138,594,0.586,252,148,104,342,0.575758,203,0.341751,139,0.234007,101,0.170034,51,0.085859,51,0.085859,97,0.1633,155,106,0.178451,1,8.0,0.0,8.0,0.0
4.889037,643,0.634,436,148,288,207,0.321928,204,0.317263,3,0.004666,102,0.158631,51,0.079316,51,0.079316,127,0.197512,0,77,0.119751,1,8.0,0.0,8.0,0.0
5.151831,688,0.686,436,148,288,252,0.366279,204,0.296512,48,0.069767,103,0.149709,50,0.072674,51,0.074128,157,0.228198,30,47,0.068314,1,8.0,0.0,8.0,0.0
5.41566,734,0.718,436,148,288,298,0.405995,205,0.279292,93,0.126703,104,0.141689,51,0.069482,50,0.06812,189,0.257493,61,16,0.021798,1,8.0,0.0,8.0,0.0
5.677564,781,0.768,436,148,288,345,0.441741,209,0.267606,136,0.174136,106,0.135723,52,0.066581,51,0.065301,23,0.029449,91,186,0.238156,1,8.0,0.0,8.0,0.0
5.941241,828,0.819,436,148,288,392,0.47343,210,0.253623,182,0.219807,107,0.129227,52,0.062802,51,0.061594,55,0.066425,122,155,0.187198,1,8.0,0.0,8.0,0.0
6.197141,872,0.868,436,148,288,436,0.5,211,0.241972,225,0.258028,106,0.12156,53,0.06078,52,0.059633,86,0.098624,152,125,0.143349,1,8.0,0.0,8.0,0.0
6.462616,918,0.918,436,148,288,482,0.525054,212,0.230937,270,0.294118,105,0.114379,53,0.057734,54,0.058824,116,0.126362,181,96,0.104575,1,8.0,0.0,8.0,0.0
6.719331,964,0.95,619,148,471,345,0.357884,212,0.219917,133,0.137967,106,0.109959,53,0.054979,53,0.054979,143,0.14834,25,69,0.071577,1,8.0,0.0,8.0,0.0
6.983126,1000,1.0,619,148,471,381,0.381,200,0.2,181,0.181,96,0.096,51,0.051,53,0.053,162,0.162,56,38,0.038,1,8.0,0.0,8.0,0.0
7.245287,1000,1.0,619,148,471,381,0.381,154,0.154,227,0.227,49,0.049,54,0.054,51,0.051,146,0.146,86,8,0.008,1,8.0,0.0,8.0,0.0
7.50858,1000,1.0,619,148,471,381,0.381,109,0.109,272,0.272,2,0.002,54,0.054,53,0.053,0,0.0,116,178,0.178,1,8.0,0.0,8.0,0.0
7.768103,1000,1.0,619,148,471,381,0.381,63,0.063,318,0.318,0,0.0,9,0.009,54,0.054,0,0.0,146,148,0.148,1,8.0,0.0,8.0,0.0
8.031992,1000,1.0,619,148,471,381,0.381,15,0.015,366,0.366,0,0.0,0,0.0,15,0.015,0,0.0,295,86,0.086,0,8.0,0.0,8.0,0.0
8.394428,1000,1.0,1000,148,852,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
8.697675,1000,1.0,1000,148,852,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
