case_id,produced_at_epoch,deadline_at_epoch
0,1776663178.948401,1776663180.148401
1,1776663178.961430,1776663180.161430
2,1776663178.967154,1776663180.167154
3,1776663178.972834,1776663180.172834
4,1776663178.978504,1776663180.178504
5,1776663178.984072,1776663180.184072
6,1776663178.989642,1776663180.189642
7,1776663178.995516,1776663180.195516
8,1776663179.001179,1776663180.201179
9,1776663179.007087,1776663180.207087
10,1776663179.012839,1776663180.212839
11,1776663179.018477,1776663180.218477
12,1776663179.024147,1776663180.224147
13,1776663179.029763,1776663180.229763
14,1776663179.035351,1776663180.235351
15,1776663179.041088,1776663180.241088
16,1776663179.046666,1776663180.246666
17,1776663179.052325,1776663180.252325
18,1776663179.057935,1776663180.257935
19,1776663179.063909,1776663180.263909
20,1776663179.069485,1776663180.269485
21,1776663179.075078,1776663180.275078
22,1776663179.080790,1776663180.280790
23,1776663179.086364,1776663180.286364
24,1776663179.091962,1776663180.291962
25,1776663179.097564,1776663180.297565
26,1776663179.103193,1776663180.303193
27,1776663179.108847,1776663180.308847
28,1776663179.114426,1776663180.314426
29,1776663179.120133,1776663180.320133
30,1776663179.125817,1776663180.325817
31,1776663179.131628,1776663180.331628
32,1776663179.137310,1776663180.337310
33,1776663179.142941,1776663180.342941
34,1776663179.149969,1776663180.349969
35,1776663179.155880,1776663180.355880
36,1776663179.161869,1776663180.361869
37,1776663179.167808,1776663180.367808
38,1776663179.173347,1776663180.373347
39,1776663179.179221,1776663180.379221
40,1776663179.185208,1776663180.385208
41,1776663179.191055,1776663180.391055
42,1776663179.196817,1776663180.396817
43,1776663179.202357,1776663180.402357
44,1776663179.207875,1776663180.407875
45,1776663179.213576,1776663180.413576
46,1776663179.219111,1776663180.419111
47,1776663179.224618,1776663180.424618
48,1776663179.230369,1776663180.430369
49,1776663179.235930,1776663180.435930
50,1776663179.241920,1776663180.441920
51,1776663179.247708,1776663180.447708
52,1776663179.253273,1776663180.453273
53,1776663179.259023,1776663180.459023
54,1776663179.264829,1776663180.464829
55,1776663179.270358,1776663180.470358
56,1776663179.275970,1776663180.475970
57,1776663179.281782,1776663180.481782
58,1776663179.287512,1776663180.487512
59,1776663179.293314,1776663180.493315
60,1776663179.298986,1776663180.498986
61,1776663179.304549,1776663180.504550
62,1776663179.310296,1776663180.510296
63,1776663179.315815,1776663180.515815
64,1776663179.321263,1776663180.521263
65,1776663179.327031,1776663180.527031
66,1776663179.332789,1776663180.532789
67,1776663179.338344,1776663180.538344
68,1776663179.344336,1776663180.544336
69,1776663179.349947,1776663180.549947
70,1776663179.355538,1776663180.555538
71,1776663179.361325,1776663180.561325
72,1776663179.367237,1776663180.567237
73,1776663179.373129,1776663180.573129
74,1776663179.379139,1776663180.579139
75,1776663179.384876,1776663180.584876
76,1776663179.390438,1776663180.590438
77,1776663179.396096,1776663180.596096
78,1776663179.401618,1776663180.601618
79,1776663179.407125,1776663180.607126
80,1776663179.412882,1776663180.612882
81,1776663179.418881,1776663180.618881
82,1776663179.424596,1776663180.624596
83,1776663179.430367,1776663180.630368
84,1776663179.436091,1776663180.636091
85,1776663179.441771,1776663180.641771
86,1776663179.447968,1776663180.647968
87,1776663179.454666,1776663180.654666
88,1776663179.460509,1776663180.660509
89,1776663179.466326,1776663180.666327
90,1776663179.472429,1776663180.672429
91,1776663179.478324,1776663180.678324
92,1776663179.483922,1776663180.683922
93,1776663179.489753,1776663180.689753
94,1776663179.495643,1776663180.695643
95,1776663179.501567,1776663180.701567
96,1776663179.507327,1776663180.707327
97,1776663179.513352,1776663180.713352
98,1776663179.519495,1776663180.719495
99,1776663179.525667,1776663180.725667
100,1776663179.532193,1776663180.732193
101,1776663179.538118,1776663180.738118
102,1776663179.544164,1776663180.744164
103,1776663179.550482,1776663180.750482
104,1776663179.556978,1776663180.756979
105,1776663179.562773,1776663180.762773
106,1776663179.568827,1776663180.768827
107,1776663179.580978,1776663180.780978
108,1776663179.586957,1776663180.786957
109,1776663179.593336,1776663180.793336
110,1776663179.599415,1776663180.799415
111,1776663179.606733,1776663180.806733
112,1776663179.612559,1776663180.812559
113,1776663179.618849,1776663180.818849
114,1776663179.625744,1776663180.825744
115,1776663179.632421,1776663180.832422
116,1776663179.638560,1776663180.838560
117,1776663179.644394,1776663180.844394
118,1776663179.650247,1776663180.850247
119,1776663179.655998,1776663180.855998
120,1776663179.661691,1776663180.861691
121,1776663179.667782,1776663180.867782
122,1776663179.673536,1776663180.873536
123,1776663179.679272,1776663180.879272
124,1776663179.684973,1776663180.884973
125,1776663179.690771,1776663180.890771
126,1776663179.696387,1776663180.896387
127,1776663179.702305,1776663180.902305
128,1776663179.708774,1776663180.908774
129,1776663179.714530,1776663180.914530
130,1776663179.720482,1776663180.920482
131,1776663179.726466,1776663180.926466
132,1776663179.732766,1776663180.932766
133,1776663179.738358,1776663180.938358
134,1776663179.744033,1776663180.944033
135,1776663179.749726,1776663180.949726
136,1776663179.755227,1776663180.955227
137,1776663179.761011,1776663180.961011
138,1776663179.766641,1776663180.966641
139,1776663179.772144,1776663180.972144
140,1776663179.778003,1776663180.978003
141,1776663179.783692,1776663180.983692
142,1776663179.789238,1776663180.989239
143,1776663179.794955,1776663180.994955
144,1776663179.800453,1776663181.000453
145,1776663179.805935,1776663181.005935
146,1776663179.811661,1776663181.011661
147,1776663179.817308,1776663181.017308
148,1776663179.822826,1776663181.022826
149,1776663179.828416,1776663181.028416
150,1776663179.834111,1776663181.034111
151,1776663179.839717,1776663181.039717
152,1776663179.845364,1776663181.045364
153,1776663179.850827,1776663181.050828
154,1776663179.856359,1776663181.056359
155,1776663179.862100,1776663181.062100
156,1776663179.867723,1776663181.067723
157,1776663179.873194,1776663181.073195
158,1776663179.879021,1776663181.079021
159,1776663179.884649,1776663181.084649
160,1776663179.890122,1776663181.090122
161,1776663179.895894,1776663181.095894
162,1776663179.901533,1776663181.101533
163,1776663179.907045,1776663181.107045
164,1776663179.912741,1776663181.112741
165,1776663179.918266,1776663181.118266
166,1776663179.923712,1776663181.123713
167,1776663179.929392,1776663181.129392
168,1776663179.935262,1776663181.135262
169,1776663179.941035,1776663181.141035
170,1776663179.946882,1776663181.146883
171,1776663179.952710,1776663181.152710
172,1776663179.958567,1776663181.158567
173,1776663179.964412,1776663181.164412
174,1776663179.970129,1776663181.170129
175,1776663179.975820,1776663181.175820
176,1776663179.981489,1776663181.181489
177,1776663179.987217,1776663181.187217
178,1776663179.993027,1776663181.193027
179,1776663179.998758,1776663181.198758
180,1776663180.004320,1776663181.204320
181,1776663180.010023,1776663181.210023
182,1776663180.015910,1776663181.215910
183,1776663180.022307,1776663181.222307
184,1776663180.027973,1776663181.227973
185,1776663180.033798,1776663181.233798
186,1776663180.039624,1776663181.239624
187,1776663180.045410,1776663181.245410
188,1776663180.051198,1776663181.251198
189,1776663180.057760,1776663181.257760
190,1776663180.063538,1776663181.263538
191,1776663180.069502,1776663181.269502
192,1776663180.075715,1776663181.275715
193,1776663180.081454,1776663181.281454
194,1776663180.087091,1776663181.287091
195,1776663180.093451,1776663181.293451
196,1776663180.099169,1776663181.299169
197,1776663180.104778,1776663181.304778
198,1776663180.110414,1776663181.310414
199,1776663180.116513,1776663181.316513
200,1776663180.123365,1776663181.323365
201,1776663180.129216,1776663181.329216
202,1776663180.134991,1776663181.334991
203,1776663180.140773,1776663181.340773
204,1776663180.146676,1776663181.346676
205,1776663180.152831,1776663181.352831
206,1776663180.160165,1776663181.360165
207,1776663180.166116,1776663181.366116
208,1776663180.172246,1776663181.372246
209,1776663180.178066,1776663181.378066
210,1776663180.183900,1776663181.383900
211,1776663180.189746,1776663181.389746
212,1776663180.195549,1776663181.395549
213,1776663180.201540,1776663181.401540
214,1776663180.207443,1776663181.407443
