case_id,produced_at_epoch,deadline_at_epoch
0,1776664606.344168,1776664607.544168
1,1776664606.395322,1776664607.595322
2,1776664606.404545,1776664607.604545
3,1776664606.414826,1776664607.614826
4,1776664606.425621,1776664607.625621
5,1776664606.433811,1776664607.633811
6,1776664606.440661,1776664607.640661
7,1776664606.453505,1776664607.653505
8,1776664606.460534,1776664607.660534
9,1776664606.469382,1776664607.669382
10,1776664606.477709,1776664607.677709
11,1776664606.484570,1776664607.684570
12,1776664606.491538,1776664607.691538
13,1776664606.501428,1776664607.701428
14,1776664606.508701,1776664607.708701
15,1776664606.518512,1776664607.718512
16,1776664606.526516,1776664607.726516
17,1776664606.533856,1776664607.733856
18,1776664606.541209,1776664607.741209
19,1776664606.550683,1776664607.750683
20,1776664606.560395,1776664607.760395
21,1776664606.570939,1776664607.770939
22,1776664606.582519,1776664607.782519
23,1776664606.592235,1776664607.792235
24,1776664606.601216,1776664607.801216
25,1776664606.608131,1776664607.808131
26,1776664606.616913,1776664607.816913
27,1776664606.626897,1776664607.826897
28,1776664606.635068,1776664607.835068
29,1776664606.642705,1776664607.842705
30,1776664606.651705,1776664607.851705
31,1776664606.658200,1776664607.858200
32,1776664606.665201,1776664607.865201
33,1776664606.671215,1776664607.871215
34,1776664606.677566,1776664607.877566
35,1776664606.683408,1776664607.883408
36,1776664606.689431,1776664607.889431
37,1776664606.695240,1776664607.895241
38,1776664606.701409,1776664607.901409
39,1776664606.707403,1776664607.907403
40,1776664606.713207,1776664607.913207
41,1776664606.719006,1776664607.919006
42,1776664606.725141,1776664607.925141
43,1776664606.731084,1776664607.931084
44,1776664606.737133,1776664607.937133
45,1776664606.742850,1776664607.942850
46,1776664606.748624,1776664607.948624
47,1776664606.754318,1776664607.954318
48,1776664606.760012,1776664607.960012
49,1776664606.765830,1776664607.965830
50,1776664606.772410,1776664607.972410
51,1776664606.778198,1776664607.978198
52,1776664606.783997,1776664607.983997
53,1776664606.790006,1776664607.990006
54,1776664606.795763,1776664607.995763
55,1776664606.801581,1776664608.001581
56,1776664606.845530,1776664608.045530
57,1776664606.851322,1776664608.051322
58,1776664606.857522,1776664608.057523
59,1776664606.863604,1776664608.063604
60,1776664606.869308,1776664608.069308
61,1776664606.875612,1776664608.075613
62,1776664606.881596,1776664608.081596
63,1776664606.887383,1776664608.087384
64,1776664606.893059,1776664608.093059
65,1776664606.898824,1776664608.098824
66,1776664606.904879,1776664608.104879
67,1776664606.910493,1776664608.110493
68,1776664606.916137,1776664608.116137
69,1776664606.921700,1776664608.121700
70,1776664606.927468,1776664608.127468
71,1776664606.934101,1776664608.134101
72,1776664606.939894,1776664608.139894
73,1776664606.946677,1776664608.146677
74,1776664606.952770,1776664608.152771
75,1776664606.958459,1776664608.158459
76,1776664606.964286,1776664608.164286
77,1776664606.969979,1776664608.169979
78,1776664606.975846,1776664608.175846
79,1776664606.981673,1776664608.181673
80,1776664606.987515,1776664608.187515
81,1776664606.993138,1776664608.193138
82,1776664606.998756,1776664608.198756
83,1776664607.004391,1776664608.204391
84,1776664607.010142,1776664608.210142
85,1776664607.015948,1776664608.215948
86,1776664607.022131,1776664608.222131
87,1776664607.027731,1776664608.227731
88,1776664607.033500,1776664608.233500
89,1776664607.039471,1776664608.239471
90,1776664607.045199,1776664608.245199
91,1776664607.050981,1776664608.250981
92,1776664607.057289,1776664608.257289
93,1776664607.063884,1776664608.263885
94,1776664607.070480,1776664608.270480
95,1776664607.076585,1776664608.276585
96,1776664607.082613,1776664608.282613
97,1776664607.088388,1776664608.288388
98,1776664607.094019,1776664608.294019
99,1776664607.099788,1776664608.299788
100,1776664607.106028,1776664608.306028
101,1776664607.111781,1776664608.311781
102,1776664607.118968,1776664608.318968
103,1776664607.124789,1776664608.324789
104,1776664607.130513,1776664608.330513
105,1776664607.137227,1776664608.337227
106,1776664607.143018,1776664608.343018
107,1776664607.149660,1776664608.349660
108,1776664607.155529,1776664608.355530
109,1776664607.161250,1776664608.361250
110,1776664607.166935,1776664608.366935
111,1776664607.172556,1776664608.372556
112,1776664607.178215,1776664608.378215
113,1776664607.184005,1776664608.384005
114,1776664607.189907,1776664608.389907
115,1776664607.195668,1776664608.395668
116,1776664607.201392,1776664608.401392
117,1776664607.207712,1776664608.407712
118,1776664607.213406,1776664608.413406
119,1776664607.219372,1776664608.419372
120,1776664607.225456,1776664608.425456
121,1776664607.231368,1776664608.431368
