case_id,produced_at_epoch,deadline_at_epoch
0,1776661585.894822,1776661587.094822
1,1776661585.912365,1776661587.112365
2,1776661585.919183,1776661587.119183
3,1776661585.925892,1776661587.125892
4,1776661585.931776,1776661587.131776
5,1776661585.937631,1776661587.137631
6,1776661585.943424,1776661587.143424
7,1776661585.949265,1776661587.149266
8,1776661585.954988,1776661587.154988
9,1776661585.960690,1776661587.160690
10,1776661585.966353,1776661587.166353
11,1776661585.971965,1776661587.171965
12,1776661585.978052,1776661587.178052
13,1776661585.983710,1776661587.183710
14,1776661585.989343,1776661587.189343
15,1776661585.994913,1776661587.194913
16,1776661586.000661,1776661587.200661
17,1776661586.006305,1776661587.206305
18,1776661586.011846,1776661587.211846
19,1776661586.017861,1776661587.217861
20,1776661586.023553,1776661587.223553
21,1776661586.029145,1776661587.229145
22,1776661586.034818,1776661587.234818
23,1776661586.040385,1776661587.240385
24,1776661586.045864,1776661587.245864
25,1776661586.051636,1776661587.251637
26,1776661586.057189,1776661587.257189
27,1776661586.062722,1776661587.262722
28,1776661586.068841,1776661587.268841
29,1776661586.074415,1776661587.274415
30,1776661586.079878,1776661587.279878
31,1776661586.085583,1776661587.285583
32,1776661586.091115,1776661587.291115
33,1776661586.096629,1776661587.296629
34,1776661586.102339,1776661587.302339
35,1776661586.108027,1776661587.308027
36,1776661586.113528,1776661587.313529
37,1776661586.119558,1776661587.319558
38,1776661586.125119,1776661587.325119
39,1776661586.130687,1776661587.330688
40,1776661586.136374,1776661587.336374
41,1776661586.141896,1776661587.341896
42,1776661586.147382,1776661587.347383
43,1776661586.153196,1776661587.353196
44,1776661586.158738,1776661587.358738
45,1776661586.164288,1776661587.364288
46,1776661586.170010,1776661587.370010
47,1776661586.175498,1776661587.375499
48,1776661586.181029,1776661587.381029
49,1776661586.186695,1776661587.386695
50,1776661586.192582,1776661587.392582
51,1776661586.198237,1776661587.398237
52,1776661586.203971,1776661587.403971
53,1776661586.209541,1776661587.409541
54,1776661586.215160,1776661587.415160
55,1776661586.220830,1776661587.420830
56,1776661586.226320,1776661587.426320
57,1776661586.231920,1776661587.431920
58,1776661586.237646,1776661587.437646
59,1776661586.243159,1776661587.443159
60,1776661586.248790,1776661587.448790
61,1776661586.254462,1776661587.454462
62,1776661586.260151,1776661587.460151
63,1776661586.265904,1776661587.465904
64,1776661586.271474,1776661587.471474
65,1776661586.277073,1776661587.477073
66,1776661586.282739,1776661587.482739
67,1776661586.288446,1776661587.488446
68,1776661586.294310,1776661587.494310
69,1776661586.299986,1776661587.499986
70,1776661586.305609,1776661587.505610
71,1776661586.311188,1776661587.511188
72,1776661586.316869,1776661587.516869
73,1776661586.322485,1776661587.522485
74,1776661586.328252,1776661587.528252
