case_id,produced_at_epoch,deadline_at_epoch
0,1776663692.943749,1776663694.143749
1,1776663692.977588,1776663694.177588
2,1776663692.984539,1776663694.184539
3,1776663692.991390,1776663694.191390
4,1776663692.998360,1776663694.198360
5,1776663693.005034,1776663694.205034
6,1776663693.011737,1776663694.211737
7,1776663693.019151,1776663694.219151
8,1776663693.026867,1776663694.226867
9,1776663693.033531,1776663694.233531
10,1776663693.040916,1776663694.240916
11,1776663693.047504,1776663694.247504
12,1776663693.054242,1776663694.254242
13,1776663693.060886,1776663694.260886
14,1776663693.068455,1776663694.268455
15,1776663693.074924,1776663694.274925
16,1776663693.082200,1776663694.282200
17,1776663693.088788,1776663694.288788
18,1776663693.095298,1776663694.295298
19,1776663693.103035,1776663694.303035
20,1776663693.110843,1776663694.310843
21,1776663693.117401,1776663694.317401
22,1776663693.123096,1776663694.323096
23,1776663693.128935,1776663694.328935
24,1776663693.134545,1776663694.334545
25,1776663693.140702,1776663694.340702
26,1776663693.146416,1776663694.346416
27,1776663693.153947,1776663694.353947
28,1776663693.159722,1776663694.359722
29,1776663693.165352,1776663694.365352
30,1776663693.171044,1776663694.371044
31,1776663693.176937,1776663694.376937
32,1776663693.182926,1776663694.382926
33,1776663693.188471,1776663694.388471
34,1776663693.194168,1776663694.394168
35,1776663693.199831,1776663694.399831
36,1776663693.205441,1776663694.405442
37,1776663693.211143,1776663694.411143
38,1776663693.216698,1776663694.416698
39,1776663693.222153,1776663694.422153
40,1776663693.227690,1776663694.427690
41,1776663693.233169,1776663694.433169
42,1776663693.238634,1776663694.438634
43,1776663693.244341,1776663694.444341
44,1776663693.250366,1776663694.450366
45,1776663693.255926,1776663694.455926
46,1776663693.261643,1776663694.461643
47,1776663693.267146,1776663694.467146
48,1776663693.272815,1776663694.472815
49,1776663693.278512,1776663694.478512
50,1776663693.284513,1776663694.484513
51,1776663693.290086,1776663694.490086
52,1776663693.295675,1776663694.495675
53,1776663693.301129,1776663694.501129
54,1776663693.306656,1776663694.506656
55,1776663693.312240,1776663694.512240
56,1776663693.317716,1776663694.517716
57,1776663693.323293,1776663694.523293
58,1776663693.328992,1776663694.528992
59,1776663693.334934,1776663694.534934
60,1776663693.340457,1776663694.540457
61,1776663693.346172,1776663694.546172
62,1776663693.351883,1776663694.551883
63,1776663693.359111,1776663694.559111
64,1776663693.364873,1776663694.564873
65,1776663693.371710,1776663694.571710
66,1776663693.377413,1776663694.577413
67,1776663693.383046,1776663694.583046
68,1776663693.388958,1776663694.588958
69,1776663693.394578,1776663694.594579
70,1776663693.400078,1776663694.600078
71,1776663693.405595,1776663694.605595
72,1776663693.411263,1776663694.611263
73,1776663693.416896,1776663694.616896
74,1776663693.422478,1776663694.622478
75,1776663693.428213,1776663694.628213
76,1776663693.433808,1776663694.633808
77,1776663693.439333,1776663694.639333
78,1776663693.445643,1776663694.645643
79,1776663693.451602,1776663694.651602
80,1776663693.457152,1776663694.657152
81,1776663693.462807,1776663694.662807
82,1776663693.468364,1776663694.668364
83,1776663693.473928,1776663694.673928
84,1776663693.479660,1776663694.679660
85,1776663693.485279,1776663694.685279
86,1776663693.491908,1776663694.691908
87,1776663693.497937,1776663694.697937
88,1776663693.503748,1776663694.703748
89,1776663693.509713,1776663694.709713
90,1776663693.515386,1776663694.715386
91,1776663693.520929,1776663694.720929
92,1776663693.526548,1776663694.726548
93,1776663693.532235,1776663694.732235
94,1776663693.537846,1776663694.737846
95,1776663693.544140,1776663694.744140
96,1776663693.549705,1776663694.749705
97,1776663693.555201,1776663694.755201
98,1776663693.560812,1776663694.760812
99,1776663693.566299,1776663694.766299
100,1776663693.572069,1776663694.772069
101,1776663693.577834,1776663694.777834
102,1776663693.583605,1776663694.783605
103,1776663693.589417,1776663694.789417
104,1776663693.595182,1776663694.795182
105,1776663693.600973,1776663694.800973
106,1776663693.606712,1776663694.806712
107,1776663693.612445,1776663694.812445
108,1776663693.618469,1776663694.818470
109,1776663693.624024,1776663694.824024
110,1776663693.629669,1776663694.829669
111,1776663693.635213,1776663694.835213
112,1776663693.640784,1776663694.840784
113,1776663693.646305,1776663694.846305
114,1776663693.651774,1776663694.851774
115,1776663693.657229,1776663694.857229
116,1776663693.662965,1776663694.862965
117,1776663693.668727,1776663694.868727
118,1776663693.674489,1776663694.874489
119,1776663693.680074,1776663694.880075
120,1776663693.685648,1776663694.885648
121,1776663693.691270,1776663694.891270
122,1776663693.696932,1776663694.896932
123,1776663693.702725,1776663694.902725
124,1776663693.708359,1776663694.908360
125,1776663693.713946,1776663694.913946
126,1776663693.719383,1776663694.919383
127,1776663693.724920,1776663694.924920
128,1776663693.730532,1776663694.930532
129,1776663693.736134,1776663694.936134
130,1776663693.741762,1776663694.941762
131,1776663693.749742,1776663694.949742
132,1776663693.755422,1776663694.955422
133,1776663693.761173,1776663694.961173
134,1776663693.766763,1776663694.966763
135,1776663693.772298,1776663694.972298
136,1776663693.778919,1776663694.978919
137,1776663693.784993,1776663694.984993
138,1776663693.790643,1776663694.990643
139,1776663693.796327,1776663694.996327
140,1776663693.801819,1776663695.001819
141,1776663693.807340,1776663695.007340
142,1776663693.812917,1776663695.012917
143,1776663693.818353,1776663695.018353
144,1776663693.823914,1776663695.023914
145,1776663693.829653,1776663695.029653
146,1776663693.835446,1776663695.035446
147,1776663693.841056,1776663695.041056
148,1776663693.847291,1776663695.047291
149,1776663693.852780,1776663695.052780
150,1776663693.858443,1776663695.058443
151,1776663693.864184,1776663695.064184
152,1776663693.869896,1776663695.069896
153,1776663693.875745,1776663695.075745
154,1776663693.881427,1776663695.081427
155,1776663693.887034,1776663695.087034
156,1776663693.892635,1776663695.092635
157,1776663693.898247,1776663695.098247
158,1776663693.903766,1776663695.103766
159,1776663693.909344,1776663695.109344
160,1776663693.915051,1776663695.115051
161,1776663693.920738,1776663695.120738
162,1776663693.926641,1776663695.126641
163,1776663693.932283,1776663695.132283
164,1776663693.937824,1776663695.137825
165,1776663693.943500,1776663695.143500
166,1776663693.949250,1776663695.149250
167,1776663693.955625,1776663695.155625
168,1776663693.965215,1776663695.165215
169,1776663693.970883,1776663695.170883
170,1776663693.976620,1776663695.176620
171,1776663693.982333,1776663695.182333
172,1776663693.988269,1776663695.188269
173,1776663693.994100,1776663695.194100
174,1776663694.000412,1776663695.200412
175,1776663694.006453,1776663695.206453
176,1776663694.012211,1776663695.212211
177,1776663694.017791,1776663695.217791
178,1776663694.023645,1776663695.223645
179,1776663694.031773,1776663695.231773
180,1776663694.038229,1776663695.238229
181,1776663694.044741,1776663695.244741
182,1776663694.050531,1776663695.250531
183,1776663694.056187,1776663695.256187
184,1776663694.062147,1776663695.262147
185,1776663694.068313,1776663695.268313
186,1776663694.074438,1776663695.274438
187,1776663694.080499,1776663695.280499
188,1776663694.086755,1776663695.286755
189,1776663694.092489,1776663695.292489
190,1776663694.098253,1776663695.298253
191,1776663694.104125,1776663695.304125
192,1776663694.110502,1776663695.310503
193,1776663694.116509,1776663695.316509
194,1776663694.122306,1776663695.322306
195,1776663694.128320,1776663695.328321
196,1776663694.134029,1776663695.334029
197,1776663694.139651,1776663695.339651
198,1776663694.145363,1776663695.345363
199,1776663694.151325,1776663695.351325
200,1776663694.157118,1776663695.357118
201,1776663694.162838,1776663695.362838
202,1776663694.168898,1776663695.368898
203,1776663694.174612,1776663695.374612
204,1776663694.180268,1776663695.380268
205,1776663694.185860,1776663695.385860
206,1776663694.191342,1776663695.391342
207,1776663694.197270,1776663695.397270
208,1776663694.203288,1776663695.403288
209,1776663694.209144,1776663695.409144
210,1776663694.214726,1776663695.414726
211,1776663694.220184,1776663695.420184
212,1776663694.225843,1776663695.425843
213,1776663694.231629,1776663695.431629
214,1776663694.237857,1776663695.437857
215,1776663694.243641,1776663695.443641
216,1776663694.249816,1776663695.449816
217,1776663694.255454,1776663695.455454
218,1776663694.262132,1776663695.462132
219,1776663694.267793,1776663695.467793
220,1776663694.273569,1776663695.473569
221,1776663694.279337,1776663695.479337
222,1776663694.285065,1776663695.485065
223,1776663694.290852,1776663695.490852
224,1776663694.296983,1776663695.496983
225,1776663694.303694,1776663695.503694
226,1776663694.310047,1776663695.510047
227,1776663694.316431,1776663695.516431
228,1776663694.322059,1776663695.522059
229,1776663694.327623,1776663695.527623
230,1776663694.333353,1776663695.533353
231,1776663694.338982,1776663695.538982
232,1776663694.344592,1776663695.544592
233,1776663694.350183,1776663695.550183
234,1776663694.355771,1776663695.555771
235,1776663694.361474,1776663695.561474
236,1776663694.367333,1776663695.567333
237,1776663694.373035,1776663695.573035
238,1776663694.378738,1776663695.578738
239,1776663694.384425,1776663695.584425
240,1776663694.390006,1776663695.590006
241,1776663694.395679,1776663695.595679
242,1776663694.401237,1776663695.601238
243,1776663694.406960,1776663695.606960
244,1776663694.412648,1776663695.612648
245,1776663694.418443,1776663695.618443
246,1776663694.424107,1776663695.624107
247,1776663694.429800,1776663695.629800
248,1776663694.435380,1776663695.635381
249,1776663694.440922,1776663695.640922
250,1776663694.447117,1776663695.647117
251,1776663694.453198,1776663695.653198
252,1776663694.459337,1776663695.659337
253,1776663694.464962,1776663695.664963
254,1776663694.470556,1776663695.670556
255,1776663694.476269,1776663695.676269
256,1776663694.481849,1776663695.681849
257,1776663694.487396,1776663695.687396
258,1776663694.493124,1776663695.693124
259,1776663694.498853,1776663695.698853
260,1776663694.504506,1776663695.704506
261,1776663694.510411,1776663695.710411
262,1776663694.516104,1776663695.716104
263,1776663694.521838,1776663695.721838
264,1776663694.528005,1776663695.728005
265,1776663694.533907,1776663695.733907
266,1776663694.539611,1776663695.739611
267,1776663694.545440,1776663695.745440
268,1776663694.551273,1776663695.751273
269,1776663694.556882,1776663695.756882
270,1776663694.562623,1776663695.762623
271,1776663694.568379,1776663695.768379
272,1776663694.574148,1776663695.774148
273,1776663694.579769,1776663695.779769
274,1776663694.587607,1776663695.787607
275,1776663694.593336,1776663695.793336
276,1776663694.598904,1776663695.798904
277,1776663694.604421,1776663695.804421
278,1776663694.610322,1776663695.810323
279,1776663694.616019,1776663695.816019
280,1776663694.621609,1776663695.821609
281,1776663694.627394,1776663695.827394
282,1776663694.632979,1776663695.832979
283,1776663694.638503,1776663695.838503
284,1776663694.644315,1776663695.844315
285,1776663694.650156,1776663695.850156
286,1776663694.657103,1776663695.857103
287,1776663694.663540,1776663695.863540
288,1776663694.669781,1776663695.869781
289,1776663694.675857,1776663695.875857
290,1776663694.681500,1776663695.881500
291,1776663694.687901,1776663695.887901
292,1776663694.694059,1776663695.894059
293,1776663694.700238,1776663695.900238
294,1776663694.705918,1776663695.905918
295,1776663694.711988,1776663695.911988
296,1776663694.717580,1776663695.917580
297,1776663694.723084,1776663695.923084
298,1776663694.728691,1776663695.928691
299,1776663694.734174,1776663695.934174
300,1776663694.739900,1776663695.939900
301,1776663694.745599,1776663695.945599
302,1776663694.752137,1776663695.952137
303,1776663694.758145,1776663695.958145
304,1776663694.763705,1776663695.963705
305,1776663694.769212,1776663695.969212
306,1776663694.774796,1776663695.974797
307,1776663694.780527,1776663695.980527
308,1776663694.786212,1776663695.986212
309,1776663694.791936,1776663695.991936
