t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000366,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.442713,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.848992,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.108212,18,0.001,2,2,0,16,0.888889,16,0.888889,0,0.0,16,0.888889,0,0.0,0,0.0,9,0.5,0,7,0.388889,1,50.0,0.0,50.0,0.0
1.361766,61,0.05,7,7,0,54,0.885246,54,0.885246,0,0.0,54,0.885246,0,0.0,0,0.0,52,0.852459,0,2,0.032787,1,50.0,0.0,50.0,0.0
1.620067,106,0.1,12,12,0,94,0.886792,94,0.886792,0,0.0,94,0.886792,0,0.0,0,0.0,19,0.179245,0,75,0.707547,1,50.0,0.0,50.0,0.0
1.87439,152,0.15,17,17,0,135,0.888158,135,0.888158,0,0.0,104,0.684211,31,0.203947,0,0.0,65,0.427632,0,70,0.460526,1,50.0,0.0,50.0,0.0
2.128465,197,0.186,22,22,0,175,0.888325,175,0.888325,0,0.0,107,0.543147,51,0.258883,17,0.086294,110,0.558376,0,65,0.329949,1,50.0,0.0,50.0,0.0
2.382499,242,0.236,27,26,1,215,0.88843,211,0.871901,4,0.016529,107,0.442149,53,0.219008,51,0.210744,151,0.623967,0,60,0.247934,1,50.0,0.0,50.0,0.0
2.637269,287,0.286,32,26,6,255,0.888502,213,0.74216,42,0.146341,107,0.372822,54,0.188153,52,0.181185,158,0.550523,0,55,0.191638,1,50.0,0.0,50.0,0.0
2.892389,333,0.318,37,26,11,296,0.888889,214,0.642643,82,0.246246,107,0.321321,53,0.159159,54,0.162162,164,0.492492,0,50,0.15015,1,50.0,0.0,50.0,0.0
3.147293,378,0.368,42,26,16,336,0.888889,213,0.563492,123,0.325397,106,0.280423,54,0.142857,53,0.140212,168,0.444444,0,45,0.119048,1,50.0,0.0,50.0,0.0
3.402651,423,0.418,47,26,21,376,0.888889,214,0.50591,162,0.382979,107,0.252955,53,0.125296,54,0.12766,174,0.411348,0,40,0.094563,1,50.0,0.0,50.0,0.0
3.658625,470,0.469,52,26,26,418,0.889362,214,0.455319,204,0.434043,108,0.229787,53,0.112766,53,0.112766,179,0.380851,0,35,0.074468,1,50.0,0.0,50.0,0.0
3.914145,515,0.5,57,26,31,458,0.88932,214,0.415534,244,0.473786,107,0.207767,53,0.102913,54,0.104854,184,0.357282,0,30,0.058252,1,50.0,0.0,50.0,0.0
4.170706,560,0.55,62,26,36,498,0.889286,213,0.380357,285,0.508929,106,0.189286,54,0.096429,53,0.094643,188,0.335714,0,25,0.044643,1,50.0,0.0,50.0,0.0
4.426788,605,0.6,67,26,41,538,0.889256,214,0.353719,324,0.535537,106,0.175207,54,0.089256,54,0.089256,194,0.320661,0,20,0.033058,1,50.0,0.0,50.0,0.0
4.683184,650,0.65,72,26,46,578,0.889231,213,0.327692,365,0.561538,107,0.164615,51,0.078462,55,0.084615,198,0.304615,0,15,0.023077,1,50.0,0.0,50.0,0.0
4.939812,695,0.686,77,26,51,618,0.889209,211,0.303597,407,0.585612,106,0.152518,53,0.076259,52,0.07482,201,0.289209,0,10,0.014388,1,50.0,0.0,50.0,0.0
5.196335,741,0.736,82,26,56,659,0.889339,212,0.2861,447,0.603239,106,0.14305,53,0.071525,53,0.071525,207,0.279352,0,5,0.006748,1,50.0,0.0,50.0,0.0
5.500887,782,0.768,87,26,61,695,0.888747,200,0.255754,495,0.632992,95,0.121483,53,0.067775,52,0.066496,200,0.255754,0,0,0.0,1,50.0,0.0,50.0,0.0
5.779538,831,0.818,92,26,66,739,0.88929,199,0.239471,540,0.649819,93,0.111913,53,0.063779,53,0.063779,4,0.004813,0,195,0.234657,1,50.0,0.0,50.0,0.0
6.039146,877,0.868,97,26,71,780,0.889396,199,0.22691,581,0.662486,105,0.119726,41,0.04675,53,0.060433,9,0.010262,0,190,0.216648,1,50.0,0.0,50.0,0.0
6.297246,921,0.918,102,26,76,819,0.889251,197,0.213898,622,0.675353,104,0.112921,52,0.05646,41,0.044517,12,0.013029,0,185,0.200869,1,50.0,0.0,50.0,0.0
6.559064,962,0.95,107,26,81,855,0.888773,204,0.212058,651,0.676715,100,0.10395,52,0.054054,52,0.054054,24,0.024948,0,180,0.18711,1,50.0,0.0,50.0,0.0
6.818124,1000,1.0,112,26,86,888,0.888,197,0.197,691,0.691,91,0.091,54,0.054,52,0.052,22,0.022,0,175,0.175,1,50.0,0.0,50.0,0.0
7.079588,1000,1.0,117,26,91,883,0.883,127,0.127,756,0.756,27,0.027,49,0.049,51,0.051,0,0.0,0,170,0.17,1,50.0,0.0,50.0,0.0
7.52863,1000,1.0,122,26,96,878,0.878,40,0.04,838,0.838,0,0.0,0,0.0,40,0.04,0,0.0,0,165,0.165,1,50.0,0.0,50.0,0.0
8.010205,1000,1.0,127,26,101,873,0.873,0,0.0,873,0.873,0,0.0,0,0.0,0,0.0,0,0.0,0,160,0.16,0,50.0,0.0,50.0,0.0
8.269607,1000,1.0,850,26,824,150,0.15,0,0.0,150,0.15,0,0.0,0,0.0,0,0.0,0,0.0,0,37,0.037,0,50.0,0.0,50.0,0.0
8.578937,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
8.882841,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.187636,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.491965,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.897865,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
10.302109,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
10.630494,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
