t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000375,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.389369,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.79394,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.04846,7,0.001,5,5,0,2,0.285714,2,0.285714,0,0.0,2,0.285714,0,0.0,0,0.0,2,0.285714,0,0,0.0,1,8.0,0.0,8.0,0.0
1.302377,51,0.05,34,34,0,17,0.333333,17,0.333333,0,0.0,17,0.333333,0,0.0,0,0.0,4,0.078431,0,13,0.254902,1,8.0,0.0,8.0,0.0
1.561836,95,0.086,64,64,0,31,0.326316,31,0.326316,0,0.0,31,0.326316,0,0.0,0,0.0,24,0.252632,0,7,0.073684,1,8.0,0.0,8.0,0.0
1.821862,140,0.136,94,94,0,46,0.328571,46,0.328571,0,0.0,46,0.328571,0,0.0,0,0.0,33,0.235714,0,13,0.092857,1,8.0,0.0,8.0,0.0
2.075246,184,0.168,123,123,0,61,0.331522,61,0.331522,0,0.0,61,0.331522,0,0.0,0,0.0,23,0.125,0,38,0.206522,1,8.0,0.0,8.0,0.0
2.33127,230,0.218,153,153,0,77,0.334783,77,0.334783,0,0.0,77,0.334783,0,0.0,0,0.0,69,0.3,0,8,0.034783,1,8.0,0.0,8.0,0.0
2.58853,274,0.268,182,182,0,92,0.335766,92,0.335766,0,0.0,92,0.335766,0,0.0,0,0.0,31,0.113139,0,61,0.222628,1,8.0,0.0,8.0,0.0
