t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.081439,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
0.38287,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
0.684292,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
1.154496,1,0.0,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0,0.0,0,0.0,0.0,0.0,2.8
1.404949,37,0.037,37,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
1.662092,82,0.068,82,82,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
1.915886,127,0.118,127,127,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
2.17239,171,0.167,171,171,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
5.13812,694,0.686,201,200,1,493,0.710375,212,0.305476,281,0.404899,106,0.152738,53,0.076369,53,0.076369,212,0.305476,0,0,0.0,0,0.0,0.0,0.0,2.8
5.39916,737,0.734,737,439,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
5.658791,782,0.768,779,481,298,3,0.003836,3,0.003836,0,0.0,3,0.003836,0,0.0,0,0.0,3,0.003836,0,0,0.0,0,0.0,0.0,0.0,2.8
5.937462,828,0.818,828,530,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
6.192423,867,0.862,867,569,298,0,0.0,1,0.001153,0,0.0,1,0.001153,0,0.0,0,0.0,1,0.001153,0,0,0.0,0,0.0,0.0,0.0,2.8
6.457431,913,0.9,913,615,298,0,0.0,1,0.001095,0,0.0,1,0.001095,0,0.0,0,0.0,1,0.001095,0,0,0.0,0,0.0,0.0,0.0,2.8
6.718871,959,0.95,959,661,298,0,0.0,1,0.001043,0,0.0,1,0.001043,0,0.0,0,0.0,1,0.001043,0,0,0.0,0,0.0,0.0,0.0,2.8
7.052851,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
7.361456,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
7.668278,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
7.980782,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.29156,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.599959,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
8.906916,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
9.038861,1000,1.0,1000,702,298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2.8
