case_id,produced_at_epoch,deadline_at_epoch
0,1776661560.164145,1776661561.364145
1,1776661560.174718,1776661561.374718
2,1776661560.180250,1776661561.380250
3,1776661560.186011,1776661561.386011
4,1776661560.191608,1776661561.391608
5,1776661560.198479,1776661561.398479
6,1776661560.204329,1776661561.404329
7,1776661560.210426,1776661561.410426
8,1776661560.216016,1776661561.416016
9,1776661560.221615,1776661561.421615
10,1776661560.227152,1776661561.427152
11,1776661560.232711,1776661561.432711
12,1776661560.238431,1776661561.438431
13,1776661560.244831,1776661561.444831
14,1776661560.251634,1776661561.451634
15,1776661560.260998,1776661561.460998
16,1776661560.267619,1776661561.467619
17,1776661560.273302,1776661561.473302
18,1776661560.279093,1776661561.479093
19,1776661560.284616,1776661561.484617
20,1776661560.290228,1776661561.490228
21,1776661560.295705,1776661561.495705
22,1776661560.301165,1776661561.501165
23,1776661560.310753,1776661561.510753
24,1776661560.316430,1776661561.516430
25,1776661560.322153,1776661561.522153
26,1776661560.327882,1776661561.527882
27,1776661560.333434,1776661561.533434
28,1776661560.339047,1776661561.539047
29,1776661560.344599,1776661561.544599
30,1776661560.350060,1776661561.550060
31,1776661560.355768,1776661561.555768
32,1776661560.361282,1776661561.561282
33,1776661560.366738,1776661561.566738
34,1776661560.372316,1776661561.572316
35,1776661560.377802,1776661561.577802
36,1776661560.383512,1776661561.583512
37,1776661560.389158,1776661561.589158
38,1776661560.394618,1776661561.594618
39,1776661560.400112,1776661561.600112
40,1776661560.405719,1776661561.605719
41,1776661560.411291,1776661561.611291
42,1776661560.416764,1776661561.616764
43,1776661560.422409,1776661561.622409
44,1776661560.427979,1776661561.627979
45,1776661560.433455,1776661561.633456
46,1776661560.439056,1776661561.639056
47,1776661560.444618,1776661561.644618
48,1776661560.450090,1776661561.650090
49,1776661560.455900,1776661561.655900
50,1776661560.461744,1776661561.661744
51,1776661560.467290,1776661561.667290
52,1776661560.472934,1776661561.672934
53,1776661560.478561,1776661561.678561
54,1776661560.484111,1776661561.684111
55,1776661560.489720,1776661561.689720
56,1776661560.495210,1776661561.695210
57,1776661560.500848,1776661561.700848
58,1776661560.506418,1776661561.706419
59,1776661560.511890,1776661561.711890
60,1776661560.517423,1776661561.717423
61,1776661560.523059,1776661561.723059
62,1776661560.528627,1776661561.728627
63,1776661560.534185,1776661561.734185
64,1776661560.539723,1776661561.739723
65,1776661560.545364,1776661561.745364
66,1776661560.551051,1776661561.751051
67,1776661560.557158,1776661561.757158
68,1776661560.563876,1776661561.763876
69,1776661560.573725,1776661561.773725
70,1776661560.579489,1776661561.779489
71,1776661560.585412,1776661561.785412
72,1776661560.591053,1776661561.791053
73,1776661560.596626,1776661561.796626
74,1776661560.602231,1776661561.802231
75,1776661560.607791,1776661561.807791
76,1776661560.613340,1776661561.813340
77,1776661560.619038,1776661561.819038
78,1776661560.624530,1776661561.824530
79,1776661560.630231,1776661561.830231
80,1776661560.637100,1776661561.837101
81,1776661560.643623,1776661561.843623
82,1776661560.652005,1776661561.852005
83,1776661560.658587,1776661561.858587
84,1776661560.664631,1776661561.864631
85,1776661560.670707,1776661561.870707
86,1776661560.676631,1776661561.876631
87,1776661560.682383,1776661561.882383
88,1776661560.688267,1776661561.888267
89,1776661560.693965,1776661561.893965
90,1776661560.699615,1776661561.899615
91,1776661560.705395,1776661561.905395
92,1776661560.711033,1776661561.911033
93,1776661560.716606,1776661561.916606
94,1776661560.722226,1776661561.922226
95,1776661560.727755,1776661561.927755
96,1776661560.733251,1776661561.933251
97,1776661560.738845,1776661561.938845
98,1776661560.744505,1776661561.944505
99,1776661560.750066,1776661561.950066
100,1776661560.755937,1776661561.955937
101,1776661560.761443,1776661561.961443
102,1776661560.766936,1776661561.966936
103,1776661560.772604,1776661561.972604
104,1776661560.778128,1776661561.978128
105,1776661560.783606,1776661561.983606
106,1776661560.789141,1776661561.989141
107,1776661560.795284,1776661561.995284
108,1776661560.800779,1776661562.000779
109,1776661560.806426,1776661562.006426
110,1776661560.812162,1776661562.012162
111,1776661560.817656,1776661562.017656
112,1776661560.823282,1776661562.023282
113,1776661560.828837,1776661562.028837
114,1776661560.834404,1776661562.034405
115,1776661560.839955,1776661562.039955
116,1776661560.845489,1776661562.045489
117,1776661560.851120,1776661562.051120
118,1776661560.857143,1776661562.057143
119,1776661560.862683,1776661562.062683
120,1776661560.868241,1776661562.068241
121,1776661560.873747,1776661562.073747
122,1776661560.879223,1776661562.079223
123,1776661560.884860,1776661562.084860
124,1776661560.890467,1776661562.090467
125,1776661560.899616,1776661562.099616
126,1776661560.905188,1776661562.105188
127,1776661560.910728,1776661562.110728
128,1776661560.916226,1776661562.116226
129,1776661560.921811,1776661562.121811
130,1776661560.927356,1776661562.127356
131,1776661560.932990,1776661562.132990
132,1776661560.938627,1776661562.138627
133,1776661560.944227,1776661562.144227
134,1776661560.949715,1776661562.149715
135,1776661560.955245,1776661562.155245
136,1776661560.961591,1776661562.161591
