case_id,produced_at_epoch,deadline_at_epoch
0,1776663265.661563,1776663266.861563
1,1776663265.671618,1776663266.871618
2,1776663265.677106,1776663266.877106
3,1776663265.682666,1776663266.882666
4,1776663265.688219,1776663266.888219
5,1776663265.693714,1776663266.893714
6,1776663265.699450,1776663266.899450
7,1776663265.705291,1776663266.905291
8,1776663265.711045,1776663266.911045
9,1776663265.716815,1776663266.916815
10,1776663265.722528,1776663266.922528
11,1776663265.728686,1776663266.928686
12,1776663265.734350,1776663266.934350
13,1776663265.740079,1776663266.940079
14,1776663265.745856,1776663266.945856
15,1776663265.751552,1776663266.951552
16,1776663265.757233,1776663266.957233
17,1776663265.762969,1776663266.962969
18,1776663265.768605,1776663266.968605
19,1776663265.774387,1776663266.974387
20,1776663265.780014,1776663266.980014
21,1776663265.785640,1776663266.985640
22,1776663265.791342,1776663266.991342
23,1776663265.797051,1776663266.997051
24,1776663265.802786,1776663267.002786
25,1776663265.808477,1776663267.008477
26,1776663265.814185,1776663267.014185
27,1776663265.820194,1776663267.020194
28,1776663265.825936,1776663267.025936
29,1776663265.831533,1776663267.031533
30,1776663265.837267,1776663267.037267
31,1776663265.843140,1776663267.043140
32,1776663265.848748,1776663267.048748
33,1776663265.854343,1776663267.054343
34,1776663265.859961,1776663267.059961
35,1776663265.865392,1776663267.065392
36,1776663265.871064,1776663267.071064
37,1776663265.876934,1776663267.076934
38,1776663265.882447,1776663267.082447
39,1776663265.887922,1776663267.087922
40,1776663265.893389,1776663267.093390
41,1776663265.898799,1776663267.098799
42,1776663265.904317,1776663267.104317
43,1776663265.909759,1776663267.109759
44,1776663265.915187,1776663267.115187
45,1776663265.920705,1776663267.120705
46,1776663265.926198,1776663267.126198
47,1776663265.931885,1776663267.131885
48,1776663265.937484,1776663267.137484
49,1776663265.942976,1776663267.142977
50,1776663265.948697,1776663267.148697
51,1776663265.954214,1776663267.154214
52,1776663265.959661,1776663267.159661
53,1776663265.965101,1776663267.165101
54,1776663265.970562,1776663267.170562
55,1776663265.976050,1776663267.176050
56,1776663265.981476,1776663267.181476
57,1776663265.986943,1776663267.186944
58,1776663265.992380,1776663267.192380
59,1776663265.997811,1776663267.197811
60,1776663266.003297,1776663267.203297
61,1776663266.008959,1776663267.208959
62,1776663266.014402,1776663267.214402
63,1776663266.019964,1776663267.219964
64,1776663266.025658,1776663267.225658
65,1776663266.031363,1776663267.231363
66,1776663266.037115,1776663267.237115
67,1776663266.042753,1776663267.242753
