t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.029636,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.388134,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.690201,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.997064,1,0.0,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.251323,44,0.036,5,5,0,39,0.886364,39,0.886364,0,0.0,39,0.886364,0,0.0,0,0.0,39,0.886364,0,0,0.0,1,50.0,0.0,50.0,0.0
1.505481,89,0.086,10,10,0,79,0.88764,79,0.88764,0,0.0,79,0.88764,0,0.0,0,0.0,79,0.88764,0,0,0.0,1,50.0,0.0,50.0,0.0
1.760049,133,0.118,15,15,0,118,0.887218,118,0.887218,0,0.0,105,0.789474,13,0.097744,0,0.0,118,0.887218,0,0,0.0,1,50.0,0.0,50.0,0.0
2.015213,176,0.167,20,20,0,156,0.886364,156,0.886364,0,0.0,103,0.585227,53,0.301136,0,0.0,156,0.886364,0,0,0.0,1,50.0,0.0,50.0,0.0
2.269547,221,0.218,25,25,0,196,0.886878,196,0.886878,0,0.0,104,0.470588,52,0.235294,40,0.180995,196,0.886878,0,0,0.0,1,50.0,0.0,50.0,0.0
2.524382,265,0.25,30,26,4,235,0.886792,208,0.784906,27,0.101887,104,0.392453,51,0.192453,53,0.2,208,0.784906,0,0,0.0,1,50.0,0.0,50.0,0.0
2.779779,310,0.3,35,26,9,275,0.887097,208,0.670968,67,0.216129,105,0.33871,52,0.167742,51,0.164516,208,0.670968,0,0,0.0,1,50.0,0.0,50.0,0.0
3.035217,355,0.35,40,26,14,315,0.887324,209,0.588732,106,0.298592,105,0.295775,52,0.146479,52,0.146479,209,0.588732,0,0,0.0,1,50.0,0.0,50.0,0.0
3.292295,399,0.384,45,26,19,354,0.887218,210,0.526316,144,0.360902,105,0.263158,52,0.130326,53,0.132832,210,0.526316,0,0,0.0,1,50.0,0.0,50.0,0.0
3.552177,445,0.436,50,26,24,395,0.88764,209,0.469663,186,0.417978,104,0.233708,53,0.119101,52,0.116854,209,0.469663,0,0,0.0,1,50.0,0.0,50.0,0.0
3.812789,489,0.486,55,26,29,434,0.887526,208,0.425358,226,0.462168,104,0.212679,51,0.104294,53,0.108384,208,0.425358,0,0,0.0,1,50.0,0.0,50.0,0.0
4.07019,533,0.518,60,26,34,473,0.88743,207,0.388368,266,0.499062,102,0.19137,53,0.099437,52,0.097561,207,0.388368,0,0,0.0,1,50.0,0.0,50.0,0.0
4.335191,575,0.566,65,26,39,510,0.886957,203,0.353043,307,0.533913,99,0.172174,51,0.088696,53,0.092174,203,0.353043,0,0,0.0,1,50.0,0.0,50.0,0.0
4.60121,618,0.616,70,26,44,548,0.886731,200,0.323625,348,0.563107,97,0.156958,52,0.084142,51,0.082524,200,0.323625,0,0,0.0,1,50.0,0.0,50.0,0.0
4.865655,657,0.65,75,26,49,582,0.885845,192,0.292237,390,0.593607,92,0.14003,49,0.074581,51,0.077626,192,0.292237,0,0,0.0,1,50.0,0.0,50.0,0.0
5.129435,700,0.684,80,26,54,620,0.885714,190,0.271429,430,0.614286,93,0.132857,45,0.064286,52,0.074286,190,0.271429,0,0,0.0,1,50.0,0.0,50.0,0.0
5.400244,741,0.733,85,26,59,656,0.88529,184,0.248313,472,0.636977,94,0.126856,44,0.059379,46,0.062078,184,0.248313,0,0,0.0,1,50.0,0.0,50.0,0.0
5.672698,783,0.767,90,26,64,693,0.885057,185,0.236271,508,0.648787,92,0.117497,47,0.060026,46,0.058748,185,0.236271,0,0,0.0,1,50.0,0.0,50.0,0.0
5.949215,823,0.814,95,26,69,728,0.884569,181,0.219927,547,0.664642,89,0.108141,47,0.057108,45,0.054678,181,0.219927,0,0,0.0,1,50.0,0.0,50.0,0.0
6.219605,865,0.85,100,26,74,765,0.884393,185,0.213873,580,0.67052,92,0.106358,46,0.053179,47,0.054335,185,0.213873,0,0,0.0,1,50.0,0.0,50.0,0.0
6.494556,910,0.9,105,26,79,805,0.884615,185,0.203297,620,0.681319,97,0.106593,43,0.047253,45,0.049451,185,0.203297,0,0,0.0,1,50.0,0.0,50.0,0.0
6.768402,953,0.95,110,26,84,843,0.884575,188,0.197272,655,0.687303,97,0.101784,47,0.049318,44,0.04617,188,0.197272,0,0,0.0,1,50.0,0.0,50.0,0.0
7.054633,998,0.982,115,26,89,883,0.88477,191,0.191383,692,0.693387,95,0.09519,49,0.049098,47,0.047094,191,0.191383,0,0,0.0,1,50.0,0.0,50.0,0.0
7.355766,1000,1.0,120,26,94,880,0.88,144,0.144,736,0.736,49,0.049,47,0.047,48,0.048,144,0.144,0,0,0.0,1,50.0,0.0,50.0,0.0
7.648649,1000,1.0,125,26,99,875,0.875,97,0.097,778,0.778,3,0.003,47,0.047,47,0.047,97,0.097,0,0,0.0,1,50.0,0.0,50.0,0.0
7.925271,1000,1.0,130,26,104,870,0.87,52,0.052,818,0.818,0,0.0,4,0.004,48,0.048,52,0.052,0,0,0.0,1,50.0,0.0,50.0,0.0
8.242881,1000,1.0,283,26,257,717,0.717,4,0.004,713,0.713,0,0.0,0,0.0,4,0.004,4,0.004,0,0,0.0,0,50.0,0.0,50.0,0.0
8.517084,1000,1.0,545,26,519,455,0.455,0,0.0,455,0.455,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
8.79188,1000,1.0,826,26,800,174,0.174,0,0.0,174,0.174,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.098747,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.413559,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
9.729347,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
10.076418,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
10.414239,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
10.742805,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
11.09513,1000,1.0,1000,26,974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,50.0,0.0,50.0,0.0
