t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.005978,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.339774,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.665598,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.991396,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.242994,17,0.001,11,11,0,6,0.352941,6,0.352941,0,0.0,6,0.352941,0,0.0,0,0.0,6,0.352941,0,0,0.0,1,8.0,0.0,8.0,0.0
1.494568,60,0.05,40,40,0,20,0.333333,20,0.333333,0,0.0,20,0.333333,0,0.0,0,0.0,20,0.333333,0,0,0.0,1,8.0,0.0,8.0,0.0
1.75299,106,0.1,70,70,0,36,0.339623,36,0.339623,0,0.0,36,0.339623,0,0.0,0,0.0,36,0.339623,0,0,0.0,1,8.0,0.0,8.0,0.0
2.009163,152,0.15,100,100,0,52,0.342105,52,0.342105,0,0.0,52,0.342105,0,0.0,0,0.0,52,0.342105,0,0,0.0,1,8.0,0.0,8.0,0.0
2.266583,199,0.187,130,130,0,69,0.346734,69,0.346734,0,0.0,69,0.346734,0,0.0,0,0.0,69,0.346734,0,0,0.0,1,8.0,0.0,8.0,0.0
2.523551,245,0.236,160,160,0,85,0.346939,85,0.346939,0,0.0,85,0.346939,0,0.0,0,0.0,85,0.346939,0,0,0.0,1,8.0,0.0,8.0,0.0
2.783379,291,0.287,190,190,0,101,0.347079,101,0.347079,0,0.0,101,0.347079,0,0.0,0,0.0,101,0.347079,0,0,0.0,1,8.0,0.0,8.0,0.0
3.041638,337,0.337,220,220,0,117,0.347181,117,0.347181,0,0.0,107,0.317507,10,0.029674,0,0.0,117,0.347181,0,0,0.0,1,8.0,0.0,8.0,0.0
3.299167,383,0.368,250,250,0,133,0.347258,133,0.347258,0,0.0,107,0.279373,26,0.067885,0,0.0,133,0.347258,0,0,0.0,1,8.0,0.0,8.0,0.0
3.558153,430,0.418,280,280,0,150,0.348837,150,0.348837,0,0.0,108,0.251163,42,0.097674,0,0.0,150,0.348837,0,0,0.0,1,8.0,0.0,8.0,0.0
3.817894,475,0.468,310,310,0,165,0.347368,165,0.347368,0,0.0,106,0.223158,54,0.113684,5,0.010526,165,0.347368,0,0,0.0,1,8.0,0.0,8.0,0.0
4.077177,521,0.519,340,340,0,181,0.347409,181,0.347409,0,0.0,106,0.203455,54,0.103647,21,0.040307,181,0.347409,0,0,0.0,1,8.0,0.0,8.0,0.0
4.335816,568,0.55,370,370,0,198,0.348592,198,0.348592,0,0.0,106,0.18662,54,0.09507,38,0.066901,198,0.348592,0,0,0.0,1,8.0,0.0,8.0,0.0
4.589915,613,0.6,399,397,2,214,0.349103,213,0.347471,1,0.001631,107,0.174551,53,0.08646,53,0.08646,213,0.347471,0,0,0.0,1,8.0,0.0,8.0,0.0
4.846183,657,0.65,428,397,31,229,0.348554,212,0.322679,17,0.025875,107,0.162861,53,0.08067,52,0.079148,212,0.322679,0,0,0.0,1,8.0,0.0,8.0,0.0
5.105727,704,0.7,458,397,61,246,0.349432,214,0.303977,32,0.045455,107,0.151989,53,0.075284,54,0.076705,214,0.303977,0,0,0.0,1,8.0,0.0,8.0,0.0
5.366282,750,0.75,488,397,91,262,0.349333,213,0.284,49,0.065333,108,0.144,52,0.069333,53,0.070667,213,0.284,0,0,0.0,1,8.0,0.0,8.0,0.0
5.626721,797,0.786,518,397,121,279,0.350063,213,0.267252,66,0.082811,107,0.134253,54,0.067754,52,0.065245,213,0.267252,0,0,0.0,1,8.0,0.0,8.0,0.0
5.886856,844,0.837,548,397,151,296,0.350711,215,0.254739,81,0.095972,107,0.126777,54,0.063981,54,0.063981,215,0.254739,0,0,0.0,1,8.0,0.0,8.0,0.0
6.146927,891,0.887,578,397,181,313,0.351291,215,0.241302,98,0.109989,108,0.121212,53,0.059484,54,0.060606,215,0.241302,0,0,0.0,1,8.0,0.0,8.0,0.0
6.407841,938,0.919,608,397,211,330,0.351812,215,0.229211,115,0.122601,108,0.115139,54,0.057569,53,0.056503,215,0.229211,0,0,0.0,1,8.0,0.0,8.0,0.0
6.668951,984,0.968,638,397,241,346,0.351626,216,0.219512,130,0.132114,108,0.109756,54,0.054878,54,0.054878,216,0.219512,0,0,0.0,1,8.0,0.0,8.0,0.0
6.932662,1000,1.0,668,397,271,332,0.332,183,0.183,149,0.149,75,0.075,54,0.054,54,0.054,183,0.183,0,0,0.0,1,8.0,0.0,8.0,0.0
7.196241,1000,1.0,697,397,300,303,0.303,136,0.136,167,0.167,28,0.028,54,0.054,54,0.054,136,0.136,0,0,0.0,1,8.0,0.0,8.0,0.0
7.4581,1000,1.0,726,397,329,274,0.274,89,0.089,185,0.185,0,0.0,35,0.035,54,0.054,89,0.089,0,0,0.0,1,8.0,0.0,8.0,0.0
7.72116,1000,1.0,756,397,359,244,0.244,41,0.041,203,0.203,0,0.0,0,0.0,41,0.041,41,0.041,0,0,0.0,1,8.0,0.0,8.0,0.0
7.984012,1000,1.0,784,397,387,216,0.216,0,0.0,216,0.216,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
8.326801,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
8.634012,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
8.947798,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.258102,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.578402,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.888979,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
10.202854,1000,1.0,1000,397,603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
