scenario_id,boundary_type,family,severity,configuration,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean
required_effect__retained_deferred__baseline__standard,required_effect,baseline,standard,retained_deferred,4.265615,5.776842,6.751357,7.03723,7.33636,1.550711,1.511227,0.974515,1.260388,0.585003,0.29913
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_deferred,5.620529,7.901988,9.284245,9.768787,10.212134,2.271011,2.28146,1.382256,1.866799,0.927889,0.443347
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_deferred,5.281274,7.261138,8.664366,9.001253,9.34265,2.122608,1.979864,1.403228,1.740115,0.678284,0.341397
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_deferred,6.936787,7.029416,7.18037,7.214015,7.320308,0.076006,0.092628,0.150954,0.1846,0.139938,0.106293
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_deferred,5.807736,5.859723,6.256057,6.54142,6.817183,0.028428,0.051987,0.396334,0.681697,0.561126,0.275763
required_effect__retained_deferred__source_omission__standard,required_effect,source_omission,standard,retained_deferred,4.258838,5.917082,6.736332,7.077999,7.393072,1.495313,1.658244,0.81925,1.160917,0.656741,0.315073
required_effect__retained_immediate__baseline__standard,required_effect,baseline,standard,retained_immediate,3.85187,5.353113,6.302361,6.621557,6.88975,1.442048,1.501243,0.949248,1.268444,0.58739,0.268193
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_immediate,5.884076,8.290469,9.762385,10.23968,10.635987,2.454582,2.406393,1.471916,1.949212,0.873602,0.396307
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_immediate,5.392829,7.503048,8.813173,9.278036,9.643459,2.190463,2.110219,1.310125,1.774989,0.830286,0.365422
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_immediate,6.648674,6.740008,6.79963,6.845336,6.891712,0.084943,0.091334,0.059622,0.105328,0.092082,0.046377
required_effect__retained_immediate__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_immediate,5.606074,5.702295,6.130966,6.40609,6.627001,0.065212,0.096221,0.428671,0.703794,0.496035,0.220911
required_effect__retained_immediate__source_omission__standard,required_effect,source_omission,standard,retained_immediate,4.485072,6.122889,7.035251,7.344563,7.595645,1.637289,1.637817,0.912362,1.221675,0.560394,0.251082
required_effect__transient_immediate__baseline__standard,required_effect,baseline,standard,transient_immediate,3.785226,5.184271,6.021185,6.297964,6.51823,1.397197,1.399045,0.836914,1.113692,0.497045,0.220266
required_effect__transient_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,transient_immediate,6.286496,8.820353,10.33723,10.8399,11.260477,2.526004,2.533857,1.516877,2.019547,0.923247,0.420577
required_effect__transient_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,transient_immediate,5.591272,7.701328,8.95708,9.374311,9.729282,2.426993,2.110057,1.255751,1.672983,0.772203,0.354971
required_effect__transient_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,transient_immediate,1.808249,3.992799,4.600106,5.136345,5.165681,0.690369,2.18455,0.607307,1.143546,0.565575,0.029336
required_effect__transient_immediate__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,transient_immediate,4.222896,6.184678,6.515348,6.625864,6.714124,2.672232,1.961782,0.33067,0.441187,0.198777,0.08826
required_effect__transient_immediate__source_omission__standard,required_effect,source_omission,standard,transient_immediate,4.189839,5.969907,6.818519,7.102322,8.065229,1.855677,1.780068,0.848612,1.132415,1.24671,0.962907
