scenario_id,boundary_type,family,severity,configuration,mean_score,bulk_score,synchronized_lateness_score,concentration_score,convergence_region_score,upper_bulk_displacement_score,tail_score,straggler_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,primary_role,primary_role_label,secondary_role,secondary_role_label,classification_confidence,primary_burden_region,primary_burden_region_label,secondary_burden_region,secondary_burden_region_label,role_reason,note
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_deferred,0.605438,1.127117,1.219735,0.0,1.248754,1.78439,0.959273,1.387686,0.138605,0.596208,0.0,mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure (extreme)
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_immediate,0.786769,1.304204,1.448887,0.0,1.443232,2.055186,1.058361,1.581355,0.178148,0.760952,0.0,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure (extreme)
required_effect__transient_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,transient_immediate,0.92614,1.427692,1.594059,0.0,1.56872,2.248021,1.175231,1.779449,0.145161,0.830159,0.0,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure (extreme)
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_deferred,0.459828,0.898838,1.020088,0.0,1.068948,1.524999,0.759575,1.113281,0.178323,0.526364,0.0,mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_immediate,0.648707,1.064831,1.256613,0.0,1.252582,1.789576,0.913767,1.345789,0.175951,0.662664,0.0,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure
required_effect__transient_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,transient_immediate,0.70533,1.234637,1.328642,0.010612,1.305314,1.920442,0.926221,1.466455,0.13215,0.726598,0.0,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",duplicate pressure
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_deferred,1.176143,0.0,1.175933,2.720874,0.242284,1.215433,0.0,0.518494,0.0,1.175933,2.283295,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=18.838, timestamp_compression_ratio=0.920, with concentration_score=2.721 outweighing curve-shift scores (sync=1.176, conv=0.242).",handling-gap replayable omission (extreme)
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_immediate,1.119633,0.0,1.111278,3.224127,0.221203,1.281598,0.0,0.281734,0.0,1.111278,2.813323,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=26.096, timestamp_compression_ratio=2.730, with concentration_score=3.224 outweighing curve-shift scores (sync=1.111, conv=0.221).",handling-gap replayable omission (extreme)
required_effect__transient_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,transient_immediate,0.0,0.331373,0.0,2.93044,0.0,0.0,0.0,0.159652,0.0,0.0,2.93044,concentration-dominant,catch-up surge recovery,,n/a,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=6.417, timestamp_compression_ratio=7.783, with concentration_score=2.930 outweighing curve-shift scores (sync=0.000, conv=0.000).",handling-gap replayable omission (extreme)
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_deferred,0.683125,0.0,0.560344,2.86135,0.0,0.369406,0.0,1.135075,0.0,0.560344,2.693247,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=13.717, timestamp_compression_ratio=1.411, with concentration_score=2.861 outweighing curve-shift scores (sync=0.560, conv=0.000).",handling-gap replayable omission
