family,severity,configuration,attainment_rate_mean,unattained_case_count_mean,duplicate_side_effect_execution_count_mean,correction_rewrite_count_mean,producer_complete_to_last_attainment_seconds_mean,reconciliation_pass_count_mean,run_duration_seconds_mean
baseline,standard,retained_deferred,1.0,0.0,0.0,0.0,0.063718,25.0,9.500493
baseline,standard,retained_immediate,1.0,0.0,0.0,0.0,0.0,0.0,9.06093
baseline,standard,transient_immediate,1.0,0.0,0.0,0.0,0.0,0.0,8.617429
duplicate_pressure,extreme,retained_deferred,1.0,0.0,24.6,1375.4,0.060145,37.2,12.366098
duplicate_pressure,extreme,retained_immediate,1.0,0.0,1400.0,0.0,0.0,0.0,12.852448
duplicate_pressure,extreme,transient_immediate,1.0,0.0,1400.0,0.0,0.0,0.0,13.402464
duplicate_pressure,standard,retained_deferred,1.0,0.0,15.2,784.8,0.104938,33.2,11.655769
duplicate_pressure,standard,retained_immediate,1.0,0.0,800.0,0.0,0.0,0.0,11.845189
duplicate_pressure,standard,transient_immediate,1.0,0.0,800.0,0.0,0.0,0.0,11.842726
handling_gap_replayable,extreme,retained_deferred,1.0,0.0,0.0,0.0,0.141366,5.1,9.415766
handling_gap_replayable,extreme,retained_immediate,1.0,0.0,0.0,0.0,0.0,0.0,8.990387
handling_gap_replayable,extreme,transient_immediate,0.1283,871.7,0.0,0.0,0.0,0.0,8.091926
handling_gap_replayable,standard,retained_deferred,1.0,0.0,0.0,0.0,0.111538,10.1,8.99069
handling_gap_replayable,standard,retained_immediate,1.0,0.0,0.0,0.0,0.0,0.0,8.778306
handling_gap_replayable,standard,transient_immediate,0.4012,598.8,0.0,0.0,0.0,0.0,8.756318
source_omission,standard,retained_deferred,0.8,200.0,0.0,0.0,0.047948,24.4,9.625531
source_omission,standard,retained_immediate,0.8,200.0,0.0,0.0,0.0,0.0,9.974454
source_omission,standard,transient_immediate,0.7999,200.1,0.0,0.0,0.0,0.0,10.199395
