scenario_id,planned,completed,failed,missing,coverage_fraction
required_effect__retained_deferred__baseline__standard,10,10,0,0,1.0
required_effect__retained_deferred__duplicate_pressure__extreme,10,10,0,0,1.0
required_effect__retained_deferred__duplicate_pressure__standard,10,10,0,0,1.0
required_effect__retained_deferred__handling_gap_replayable__extreme,10,10,0,0,1.0
required_effect__retained_deferred__handling_gap_replayable__standard,10,10,0,0,1.0
required_effect__retained_deferred__source_omission__standard,10,10,0,0,1.0
required_effect__retained_immediate__baseline__standard,10,10,0,0,1.0
required_effect__retained_immediate__duplicate_pressure__extreme,10,10,0,0,1.0
required_effect__retained_immediate__duplicate_pressure__standard,10,10,0,0,1.0
required_effect__retained_immediate__handling_gap_replayable__extreme,10,10,0,0,1.0
required_effect__retained_immediate__handling_gap_replayable__standard,10,10,0,0,1.0
required_effect__retained_immediate__source_omission__standard,10,10,0,0,1.0
required_effect__transient_immediate__baseline__standard,10,10,0,0,1.0
required_effect__transient_immediate__duplicate_pressure__extreme,10,10,0,0,1.0
required_effect__transient_immediate__duplicate_pressure__standard,10,10,0,0,1.0
required_effect__transient_immediate__handling_gap_replayable__extreme,10,10,0,0,1.0
required_effect__transient_immediate__handling_gap_replayable__standard,10,10,0,0,1.0
required_effect__transient_immediate__source_omission__standard,10,10,0,0,1.0
