scenario_id,boundary_type,configuration,family,severity,attainment_t25_seconds_mean,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,bulk_window_25_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean,tail_to_bulk_ratio_mean,upper_bulk_to_bulk_ratio_mean,straggler_to_bulk_ratio_mean
required_effect__retained_deferred__baseline__standard,required_effect,retained_deferred,baseline,standard,2.714904,4.265615,5.776842,6.751357,7.03723,7.33636,1.550711,1.511227,3.061939,0.974515,1.260388,0.585003,0.29913,0.193551,0.317864,0.098716
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,retained_deferred,duplicate_pressure,extreme,3.349518,5.620529,7.901988,9.284245,9.768787,10.212134,2.271011,2.28146,4.552471,1.382256,1.866799,0.927889,0.443347,0.203549,0.303777,0.09702
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,retained_deferred,duplicate_pressure,standard,3.158666,5.281274,7.261138,8.664366,9.001253,9.34265,2.122608,1.979864,4.102472,1.403228,1.740115,0.678284,0.341397,0.164751,0.338791,0.083934
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,retained_deferred,handling_gap_replayable,extreme,6.860781,6.936787,7.029416,7.18037,7.214015,7.320308,0.076006,0.092628,0.168634,0.150954,0.1846,0.139938,0.106293,1.113701,1.213586,0.803576
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,retained_deferred,handling_gap_replayable,standard,5.779308,5.807736,5.859723,6.256057,6.54142,6.817183,0.028428,0.051987,0.080415,0.396334,0.681697,0.561126,0.275763,5.265547,3.443485,2.582723
required_effect__retained_deferred__source_omission__standard,required_effect,retained_deferred,source_omission,standard,2.763525,4.258838,5.917082,6.736332,7.077999,7.393072,1.495313,1.658244,3.153557,0.81925,1.160917,0.656741,0.315073,0.208983,0.263903,0.102122
required_effect__retained_immediate__baseline__standard,required_effect,retained_immediate,baseline,standard,2.409822,3.85187,5.353113,6.302361,6.621557,6.88975,1.442048,1.501243,2.943291,0.949248,1.268444,0.58739,0.268193,0.199319,0.322371,0.091225
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,retained_immediate,duplicate_pressure,extreme,3.429495,5.884076,8.290469,9.762385,10.23968,10.635987,2.454582,2.406393,4.860974,1.471916,1.949212,0.873602,0.396307,0.179999,0.303209,0.08161
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,retained_immediate,duplicate_pressure,standard,3.202366,5.392829,7.503048,8.813173,9.278036,9.643459,2.190463,2.110219,4.300682,1.310125,1.774989,0.830286,0.365422,0.19194,0.303906,0.084412
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,retained_immediate,handling_gap_replayable,extreme,6.563731,6.648674,6.740008,6.79963,6.845336,6.891712,0.084943,0.091334,0.176277,0.059622,0.105328,0.092082,0.046377,0.662496,0.358091,0.341292
required_effect__retained_immediate__handling_gap_replayable__standard,required_effect,retained_immediate,handling_gap_replayable,standard,5.540862,5.606074,5.702295,6.130966,6.40609,6.627001,0.065212,0.096221,0.161433,0.428671,0.703794,0.496035,0.220911,3.766176,2.994294,1.675624
required_effect__retained_immediate__source_omission__standard,required_effect,retained_immediate,source_omission,standard,2.847782,4.485072,6.122889,7.035251,7.344563,7.595645,1.637289,1.637817,3.275107,0.912362,1.221675,0.560394,0.251082,0.171545,0.281095,0.077136
required_effect__transient_immediate__baseline__standard,required_effect,transient_immediate,baseline,standard,2.388029,3.785226,5.184271,6.021185,6.297964,6.51823,1.397197,1.399045,2.796242,0.836914,1.113692,0.497045,0.220266,0.177886,0.299389,0.078851
required_effect__transient_immediate__duplicate_pressure__extreme,required_effect,transient_immediate,duplicate_pressure,extreme,3.760491,6.286496,8.820353,10.33723,10.8399,11.260477,2.526004,2.533857,5.059862,1.516877,2.019547,0.923247,0.420577,0.183294,0.300375,0.08363
required_effect__transient_immediate__duplicate_pressure__standard,required_effect,transient_immediate,duplicate_pressure,standard,3.164279,5.591272,7.701328,8.95708,9.374311,9.729282,2.426993,2.110057,4.53705,1.255751,1.672983,0.772203,0.354971,0.17653,0.285848,0.080682
required_effect__transient_immediate__handling_gap_replayable__extreme,required_effect,transient_immediate,handling_gap_replayable,extreme,1.11788,1.808249,3.992799,4.600106,5.136345,5.165681,0.690369,2.18455,2.874919,0.607307,1.143546,0.565575,0.029336,1.939248,1.752236,0.042514
required_effect__transient_immediate__handling_gap_replayable__standard,required_effect,transient_immediate,handling_gap_replayable,standard,1.550664,4.222896,6.184678,6.515348,6.625864,6.714124,2.672232,1.961782,4.634014,0.33067,0.441187,0.198777,0.08826,0.042621,0.070868,0.018932
required_effect__transient_immediate__source_omission__standard,required_effect,transient_immediate,source_omission,standard,2.334163,4.189839,5.969907,6.818519,7.102322,8.065229,1.855677,1.780068,3.635744,0.848612,1.132415,1.24671,0.962907,0.266358,0.265128,0.177104
