scenario_id,boundary_type,family,severity,configuration,delta_mean_tta,delta_p95,delta_p99,delta_t25,delta_t50,delta_t75,delta_t90,delta_t95,delta_t99,early_bulk_region_shift,main_bulk_region_shift,upper_bulk_region_shift,convergence_region_shift,tail_region_shift,straggler_region_shift,delta_early_bulk_window_25_to_50,delta_main_bulk_window_50_to_75,delta_bulk_window_25_to_75,delta_upper_bulk_window_75_to_90,delta_late_region_window_75_to_95,delta_tail_window_90_to_99,delta_straggler_window_95_to_99,delta_cluster100,delta_cluster250,delta_distinct_1ms,delta_distinct_10ms,delta_gap_cv,delta_attainment_rate,delta_unattained_case_count,delta_window_expired_flag,delta_producer_complete_to_last_attainment,mean_amplification_ratio,p95_amplification_ratio,p99_amplification_ratio,cluster100_amplification_ratio,gap_cv_amplification_ratio,bulk_window_amplification_ratio,upper_bulk_window_amplification_ratio,late_region_window_amplification_ratio,tail_window_amplification_ratio,straggler_window_amplification_ratio,tail_to_bulk_ratio_delta,tail_to_bulk_amplification_ratio,upper_bulk_to_bulk_ratio_delta,upper_bulk_to_bulk_amplification_ratio,straggler_to_bulk_ratio_delta,straggler_to_bulk_amplification_ratio,timestamp_compression_ratio,upper_bulk_displacement_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,residual_backlog_indicator,deferred_shape_gap_vs_same_family,deferred_shape_gap_vs_same_family_abs,tail_without_mean_score,concentration_dominance_score,tail_shift_without_mean_shift_candidate,bulk_shift_without_mean_shift_candidate
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_deferred,1.404116,2.731557,2.875774,0.634614,1.354914,2.125146,2.532888,2.731557,2.875774,0.994764,1.74003,2.329017,2.428351,2.704331,2.803666,0.7203,0.770233,1.490532,0.407741,0.606411,0.342886,0.144217,-0.0128,-0.0037,-25.3,5.3,-1.194537,0.0,0.0,0.0,-0.003573,1.330046,1.388158,1.391989,0.878095,0.81067,1.486793,1.418404,1.48113,1.586127,1.482121,0.009998,1.051656,-0.014086,0.955685,-0.001696,0.9702,1.178799,1.78439,0.138605,0.596208,0.0,0.0,4.585407,4.585407,1.39955,0.0,False,False
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_deferred,0.997747,1.964023,2.00629,0.443762,1.015659,1.484296,1.913009,1.964023,2.00629,0.729711,1.249977,1.698653,1.72416,1.959649,1.985156,0.571897,0.468637,1.040533,0.428713,0.479727,0.093281,0.042267,0.0135,0.0228,3.2,6.2,-0.811291,0.0,0.0,0.0,0.04122,1.234527,1.27909,1.273472,1.128571,0.871413,1.339828,1.439924,1.380619,1.159454,1.1413,-0.0288,0.851202,0.020928,1.06584,-0.014781,0.83935,0.981176,1.524999,0.178323,0.526364,0.0,0.0,4.787026,4.787026,0.987409,0.0,False,True
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_deferred,2.472633,0.176785,-0.016052,4.145877,2.671172,1.252574,0.429013,0.176785,-0.016052,3.408524,1.961873,0.840793,0.71468,0.20648,0.080366,-1.474705,-1.418599,-2.893305,-0.823561,-1.075788,-0.445065,-0.192837,0.4343,0.6739,14.6,-16.8,18.838345,0.0,0.0,0.0,0.077648,1.581208,1.025121,0.997812,5.13619,3.985817,0.055074,0.154902,0.146463,0.239209,0.35534,0.92015,5.754044,0.895723,3.817953,0.70486,8.03576,0.919515,1.215433,0.0,1.175933,2.283295,0.0,-1.791877,1.791877,0.0,2.720874,False,False
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_deferred,0.992487,-0.49581,-0.519177,3.064404,1.542121,0.082881,-0.4953,-0.49581,-0.519177,2.303263,0.812501,-0.20621,-0.206464,-0.507239,-0.507494,-1.522283,-1.45924,-2.981524,-0.578181,-0.578691,-0.023877,-0.023367,0.3662,0.5684,-48.6,-20.3,13.716544,0.0,0.0,0.0,0.04782,1.23329,0.929545,0.929232,4.487619,3.174028,0.026263,0.406699,0.540863,0.959185,0.921883,5.071996,27.204959,3.125622,10.833236,2.484007,25.82723,1.411168,0.369406,0.0,0.560344,2.693247,0.0,0.278921,0.278921,0.0,2.86135,False,False
required_effect__retained_deferred__source_omission__standard,required_effect,source_omission,standard,retained_deferred,0.067114,0.040769,0.056712,0.048621,-0.006777,0.14024,-0.015025,0.040769,0.056712,0.020922,0.066731,0.062607,0.090505,0.020844,0.04874,-0.055398,0.147017,0.091618,-0.155265,-0.099471,0.071738,0.015943,0.007375,0.003725,33.0,5.1,-0.704376,-0.2,200.0,0.0,-0.01577,1.015776,1.005793,1.00773,1.070238,0.888359,1.029922,0.840675,0.921079,1.122628,1.053298,0.015432,1.079731,-0.05396,0.830241,0.003406,1.02122,0.834835,0.149219,0.054557,0.099076,0.0,0.0,4.633167,4.633167,0.007971,0.0,False,False
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_immediate,1.982895,3.618123,3.746237,1.019673,2.032206,2.937356,3.460024,3.618123,3.746237,1.52594,2.484781,3.19869,3.27774,3.60313,3.68218,1.012534,0.90515,1.917683,0.522668,0.680768,0.286212,0.128114,0.0096,0.0043,5.5,283.2,-0.314452,0.0,0.0,0.0,0.0,1.509826,1.546416,1.543741,1.091342,0.529333,1.651544,1.550613,1.536695,1.487261,1.477693,-0.01932,0.90307,-0.019162,0.940559,-0.009616,0.8161,0.9945,2.055186,0.178148,0.760952,0.0,0.0,4.585407,4.585407,1.699285,0.0,False,False
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_immediate,1.486637,2.656479,2.753709,0.792544,1.540959,2.149935,2.510812,2.656479,2.753709,1.166751,1.845447,2.330374,2.403207,2.632261,2.705094,0.748415,0.608976,1.357391,0.360877,0.506545,0.242896,0.097229,0.0194,0.0184,0.0,174.1,-0.132825,0.0,0.0,0.0,0.0,1.382232,1.401186,1.399682,1.184586,0.71096,1.461181,1.380171,1.399344,1.413517,1.362534,-0.00738,0.962974,-0.018465,0.942721,-0.006814,0.84412,1.0,1.789576,0.175951,0.662664,0.0,0.0,4.787026,4.787026,1.218457,0.0,False,False
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_immediate,2.321491,0.223779,0.001962,4.153909,2.796804,1.386895,0.497269,0.223779,0.001962,3.475356,2.091849,0.942082,0.805337,0.249616,0.11287,-1.357105,-1.409909,-2.767014,-0.889626,-1.163116,-0.495308,-0.221816,0.2177,0.6562,-630.2,-487.1,26.095714,0.0,0.0,0.0,0.0,1.596884,1.033796,1.000285,3.071361,26.939499,0.059891,0.06281,0.083037,0.156765,0.172924,0.463177,3.323798,0.03572,1.110804,0.250066,3.41292,2.729893,1.281598,0.0,1.111278,2.813323,0.0,-1.791877,1.791877,0.0,3.224127,False,False
required_effect__retained_immediate__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_immediate,1.132859,-0.215467,-0.262749,3.13104,1.754204,0.349182,-0.171395,-0.215467,-0.262749,2.442622,1.051693,0.088894,0.066858,-0.217072,-0.239108,-1.376836,-1.405022,-2.781858,-0.520577,-0.56465,-0.091355,-0.047282,0.5392,0.5702,-494.0,-363.4,18.903115,0.0,0.0,0.0,0.0,1.291272,0.96746,0.961864,6.130352,19.7469,0.054848,0.45159,0.554848,0.844473,0.823702,3.566857,18.895218,2.671923,9.288348,1.584399,16.75625,1.987013,0.535662,0.0,0.604882,3.212027,0.0,0.278921,0.278921,0.0,3.393492,False,False
required_effect__retained_immediate__source_omission__standard,required_effect,source_omission,standard,retained_immediate,0.572696,0.723006,0.705895,0.43796,0.633202,0.769776,0.73289,0.723006,0.705895,0.535581,0.701489,0.751333,0.746391,0.719393,0.714451,0.195241,0.136574,0.331816,-0.036886,-0.046769,-0.026996,-0.017111,0.017525,0.00795,-198.3,-7.6,0.127949,-0.2,200.0,0.0,0.0,1.147247,1.10919,1.102456,1.166746,0.971734,1.112736,0.961142,0.963129,0.954041,0.936199,-0.027774,0.860656,-0.041276,0.871961,-0.01409,0.77136,1.249058,0.963866,0.226287,0.528064,0.0,0.0,4.633167,4.633167,0.15031,0.0,False,False
