scenario_id,boundary_type,configuration,family,severity,scenario_role,attainment_rate_mean,mean_time_to_attainment_seconds_mean,p95_time_to_attainment_seconds_mean,completed_in_time_rate_mean,expired_rate_mean,temporal_clustering_busiest_10pct_interval_share_100ms_mean,duplicate_delivery_rate_mean,duplicate_delivery_count_mean
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,retained_deferred,duplicate_pressure,extreme,supporting,1.0,5.658418,9.768787,1.0,0.0,0.0922,0.583333,1400.0
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,retained_deferred,duplicate_pressure,standard,supporting,1.0,5.252049,9.001253,1.0,0.0,0.1185,0.444444,800.0
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,retained_deferred,handling_gap_replayable,extreme,supporting,1.0,6.726935,7.214015,1.0,0.0,0.5393,0.0,0.0
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,retained_deferred,handling_gap_replayable,standard,supporting,1.0,5.246789,6.54142,1.0,0.0,0.4712,0.0,0.0
required_effect__retained_deferred__source_omission__standard,required_effect,retained_deferred,source_omission,standard,supporting,0.8,4.321416,7.077999,0.8,0.0,0.112375,0.0,0.0
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,retained_immediate,duplicate_pressure,extreme,supporting,1.0,5.872248,10.23968,1.0,0.0,0.1147,0.583333,1400.0
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,retained_immediate,duplicate_pressure,standard,supporting,1.0,5.37599,9.278036,1.0,0.0,0.1245,0.444444,800.0
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,retained_immediate,handling_gap_replayable,extreme,supporting,1.0,6.210844,6.845336,1.0,0.0,0.3228,0.0,0.0
required_effect__retained_immediate__handling_gap_replayable__standard,required_effect,retained_immediate,handling_gap_replayable,standard,supporting,1.0,5.022212,6.40609,1.0,0.0,0.6443,0.0,0.0
required_effect__retained_immediate__source_omission__standard,required_effect,retained_immediate,source_omission,standard,supporting,0.8,4.462049,7.344563,0.8,0.0,0.122625,0.0,0.0
required_effect__transient_immediate__duplicate_pressure__extreme,required_effect,transient_immediate,duplicate_pressure,extreme,supporting,1.0,6.287453,10.8399,1.0,0.0,0.1181,0.583333,1400.0
required_effect__transient_immediate__duplicate_pressure__standard,required_effect,transient_immediate,duplicate_pressure,standard,supporting,1.0,5.481353,9.374311,1.0,0.0,0.1228,0.444444,800.0
required_effect__transient_immediate__handling_gap_replayable__extreme,required_effect,transient_immediate,handling_gap_replayable,extreme,supporting,0.1283,2.51548,4.630684,0.1283,0.0,0.154228,0.0,0.0
required_effect__transient_immediate__handling_gap_replayable__standard,required_effect,transient_immediate,handling_gap_replayable,standard,supporting,0.4012,3.978709,6.620326,0.4012,0.0,0.102683,0.0,0.0
required_effect__transient_immediate__source_omission__standard,required_effect,transient_immediate,source_omission,standard,supporting,0.7999,4.204547,7.101743,0.7999,0.0,0.112513,0.0,0.0
