2026-04-20T06:40:32 consumer starting delivery_mode=retained enforcement_timing=immediate boundary=state_non_regression disturbance=interruption
2026-04-20T06:40:38 consumer interruption_active mode=progress_fraction reason=progress_fraction>=0.6 duration=0.800
2026-04-20T06:40:39 consumer latest_state_attained entity_id=0 version=4 attained=1
2026-04-20T06:40:39 consumer latest_state_attained entity_id=1 version=4 attained=2
2026-04-20T06:40:39 consumer latest_state_attained entity_id=2 version=4 attained=3
2026-04-20T06:40:39 consumer latest_state_attained entity_id=3 version=4 attained=4
2026-04-20T06:40:39 consumer latest_state_attained entity_id=4 version=4 attained=5
2026-04-20T06:40:39 consumer latest_state_attained entity_id=5 version=4 attained=6
2026-04-20T06:40:39 consumer latest_state_attained entity_id=6 version=4 attained=7
2026-04-20T06:40:39 consumer latest_state_attained entity_id=7 version=4 attained=8
2026-04-20T06:40:39 consumer latest_state_attained entity_id=8 version=4 attained=9
2026-04-20T06:40:39 consumer latest_state_attained entity_id=9 version=4 attained=10
2026-04-20T06:40:39 consumer latest_state_attained entity_id=10 version=4 attained=11
2026-04-20T06:40:39 consumer latest_state_attained entity_id=11 version=4 attained=12
2026-04-20T06:40:39 consumer latest_state_attained entity_id=12 version=4 attained=13
2026-04-20T06:40:39 consumer latest_state_attained entity_id=13 version=4 attained=14
2026-04-20T06:40:39 consumer latest_state_attained entity_id=14 version=4 attained=15
2026-04-20T06:40:39 consumer latest_state_attained entity_id=15 version=4 attained=16
2026-04-20T06:40:39 consumer latest_state_attained entity_id=16 version=4 attained=17
2026-04-20T06:40:39 consumer latest_state_attained entity_id=17 version=4 attained=18
2026-04-20T06:40:39 consumer latest_state_attained entity_id=18 version=4 attained=19
2026-04-20T06:40:39 consumer latest_state_attained entity_id=19 version=4 attained=20
2026-04-20T06:40:39 consumer latest_state_attained entity_id=20 version=4 attained=21
2026-04-20T06:40:39 consumer latest_state_attained entity_id=21 version=4 attained=22
2026-04-20T06:40:39 consumer latest_state_attained entity_id=22 version=4 attained=23
2026-04-20T06:40:39 consumer latest_state_attained entity_id=23 version=4 attained=24
2026-04-20T06:40:39 consumer latest_state_attained entity_id=24 version=4 attained=25
2026-04-20T06:40:39 consumer latest_state_attained entity_id=25 version=4 attained=26
2026-04-20T06:40:39 consumer latest_state_attained entity_id=26 version=4 attained=27
2026-04-20T06:40:39 consumer latest_state_attained entity_id=27 version=4 attained=28
2026-04-20T06:40:39 consumer latest_state_attained entity_id=28 version=4 attained=29
2026-04-20T06:40:39 consumer latest_state_attained entity_id=29 version=4 attained=30
2026-04-20T06:40:39 consumer latest_state_attained entity_id=30 version=4 attained=31
2026-04-20T06:40:39 consumer latest_state_attained entity_id=31 version=4 attained=32
